Model,Model Family,Model Size (B),Pretraining Data Size (T),FLOPs (1E21),MMLU,ARC-C,HellaSwag,Winograd,TruthfulQA,GSM8K,XWinograd,HumanEval,Company,Release Date,MMLU-ours,platform,Unnamed: 17,Unnamed: 18,Unnamed: 19,0_300_brier,0_300_san,300_600_brier,300_600_san,600_900_brier,600_900_san,900_1200_brier,900_1200_san,1200_1500_brier,1200_1500_san,1500_1800_brier,1500_1800_san,1800_2100_brier,1800_2100_san,2100_2400_brier,2100_2400_san,2400_2700_brier,2400_2700_san,2700_3000_brier,2700_3000_san,acc,brier,san
meta-llama/Llama-2-7b-hf,Llama-2,7.0,2.0,84.0,0.437960964,0.530716724,0.777434774,0.740331492,0.389802028,0.144806672,0.754881273,0.12804878,meta,202307.0,0.458624128,rllab,,,,0.03447092760383213,0.12462476287357835,0.11168571672259646,0.08040870118251409,0.22507569560012655,0.05752610893941483,0.3902148101909885,0.0401468336284852,0.6055051657810724,0.02944957065912836,0.8089704017106221,0.029529561778776792,0.9059376267779938,0.03548530711626258,0.9758235036262529,0.04205547337346095,0.9954241445660666,0.03763505583180977,0.9999113237740804,0.046192825896621464,0.36233333333333334,0.605301931635362,0.052305420128005285
meta-llama/Llama-2-13b-hf,Llama-2,13.0,2.0,156.0,0.543378428,0.58105802,0.809699263,0.766377269,0.34172403,0.228203184,0.786798487,0.182926829,meta,202307.0,0.5491382994,bdsrc,,,,0.03451817249421237,0.15714031752797336,0.09172862445572652,0.12447769183568055,0.17495657657321537,0.08016936846522277,0.31436180717254614,0.06324619597405164,0.4948195108181789,0.046967828838658625,0.6827785552915228,0.03174974111103861,0.8343260191038963,0.03307920277619627,0.9495539657392604,0.03424553110132189,0.991778730161094,0.03537796816325124,0.9994647562143539,0.056238653957306775,0.4093333333333333,0.5568286718024007,0.06626924997507008
meta-llama/Llama-2-70b-hf,Llama-2,70.0,2.0,840.0,0.698320892,0.673208191,0.873332006,0.837411208,0.449234937,0.540561031,0.824453228,0.298780488,meta,202307.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huggyllama/llama-7b,Llama,6.7,1.0,40.2,0.356933064,0.509385666,0.778131846,0.714285714,0.343279329,0.080363912,0.693204495,0.12804878,meta,202302.0,0.34952286,rllab,,,,0.02299239931078896,0.09190854802856331,0.0904162292827864,0.05453391852831975,0.1688449158505068,0.043104154332427515,0.41392871355104466,0.023722529660798398,0.6608153380842322,0.021619503347657557,0.8222646903147001,0.02161234468835237,0.9302450598766889,0.029195155347432535,0.9829918306120657,0.02747944754904035,0.9970236833148896,0.0254164135440797,0.9999225797469166,0.03533320854905502,0.3566666666666667,0.6089445439944604,0.03739252235757264
huggyllama/llama-13b,Llama,13.0,1.0,78.0,0.476105883,0.561433447,0.809201354,0.762430939,0.394788826,0.075815011,0.730361681,0.158536585,meta,202302.0,,,,,,0.02784944857465888,0.14310270495394103,0.08051039442357003,0.09417820273802277,0.14406311738462502,0.07203875947849214,0.29476146248843416,0.047804981407398646,0.4735318703479232,0.03566390962302702,0.6996850724138707,0.03407747650841423,0.8599810284746909,0.03517589972774362,0.9492263857524256,0.03496626351708726,0.9900377106799245,0.03177097241185815,0.9997488299746584,0.042800325818517365,0.4166666666666667,0.5519395320514776,0.057157949618450374
huggyllama/llama-30b,Llama,32.5,1.4,273.0,0.584466128,0.614334471,0.847341167,0.800315706,0.42273876,0.148597422,0.771147904,0.207317073,meta,202302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huggyllama/llama-65b,Llama,65.2,1.4,547.68,0.639306418,0.634812287,0.860884286,0.825572218,0.434287607,0.372251706,0.776834807,0.231707317,meta,202302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Meta-Llama-3-70B,Llama-3,70.0,15.0,6300.0,0.792329339,,0.87980482,0.853196527,0.455623682,0.768764215,0.844706094,0.524390244,meta,202404.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Meta-Llama-3-8B,Llama-3,8.0,15.0,720.0,0.664949549,,0.820155348,0.771112865,0.439522651,0.453373768,0.801151665,0.384146341,meta,202404.0,0.651687794,rllab,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen/Qwen1.5-72B,Qwen1.5,72.0,3.0,1296.0,0.772014583,0.658703072,0.859888468,0.830307814,0.596080564,0.657316149,0.825768095,0.451219512,alibaba,202402.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
