Model,Model Family,Model Size (B),Pretraining Data Size (T),FLOPs (1E21),MMLU,ARC-C,HellaSwag,Winograd,TruthfulQA,GSM8K,XWinograd,HumanEval,Company,Release Date,MMLU-ours,platform,Unnamed: 17,Unnamed: 18,Unnamed: 19,0_32_brier,0_32_san,32_64_brier,32_64_san,64_96_brier,64_96_san,96_129_brier,96_129_san,129_161_brier,129_161_san,161_193_brier,161_193_san,193_226_brier,193_226_san,226_258_brier,226_258_san,258_290_brier,258_290_san,290_323_brier,290_323_san,acc,brier,san
meta-llama/Llama-2-7b-hf,Llama-2,7.0,2.0,84.0,0.437960964,0.530716724,0.777434774,0.740331492,0.389802028,0.144806672,0.754881273,0.12804878,meta,202307.0,0.458624128,rllab,,,,0.2852017619005427,0.7603503390141495,0.3802715281536508,0.7719626320929827,0.6882529968581695,0.7224224302899664,0.9089812495507417,0.7722241788653049,0.9012755862816128,0.7616517889839267,0.9157087842961774,0.7529916385880505,0.9479672072364681,0.7721478830181291,0.9654970813087743,0.7824144745216363,0.9688842254504352,0.7827296881702539,0.9798477476258394,0.822496320947234,0.13622291021671826,0.7955951009337777,0.7703139082556127
meta-llama/Llama-2-13b-hf,Llama-2,13.0,2.0,156.0,0.543378428,0.58105802,0.809699263,0.766377269,0.34172403,0.228203184,0.786798487,0.182926829,meta,202307.0,0.5491382994,bdsrc,,,,0.45799115745697105,0.8415756255190994,0.4983594873095202,0.8185624287416621,0.592070559194272,0.8087121679004285,0.7104568172097226,0.8134563702486359,0.794484174505707,0.8205903306537683,0.8066202685181497,0.8147733967698931,0.8860375481479069,0.8351154401524894,0.9217462030104215,0.8273630315361109,0.9260158034846994,0.8200270456329757,0.9606897626915772,0.8684890576227209,0.14860681114551083,0.7563476196191188,0.8269793730678423
meta-llama/Llama-2-70b-hf,Llama-2,70.0,2.0,840.0,0.698320892,0.673208191,0.873332006,0.837411208,0.449234937,0.540561031,0.824453228,0.298780488,meta,202307.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huggyllama/llama-7b,Llama,6.7,1.0,40.2,0.356933064,0.509385666,0.778131846,0.714285714,0.343279329,0.080363912,0.693204495,0.12804878,meta,202302.0,0.34952286,rllab,,,,0.2029270783448229,0.16985384825435584,0.7033482944520091,0.09396011448553869,0.8216168750132588,0.1261031239566903,0.9408044593068003,0.1042107224250714,0.9483226780588825,0.13326804054927438,0.9600242900677741,0.12713814343890997,0.9756969593115744,0.1474557044593507,0.9758323870893378,0.15598744595549008,0.9718824633150858,0.17357705171803575,0.985860675473672,0.1626300146894851,0.09597523219814241,0.8497352298079106,0.1394061645801992
huggyllama/llama-13b,Llama,13.0,1.0,78.0,0.476105883,0.561433447,0.809201354,0.762430939,0.394788826,0.075815011,0.730361681,0.158536585,meta,202302.0,,,,,,0.23421311827026914,0.6315706237630074,0.6496456636725864,0.5503970712693554,0.7726485131374227,0.5671318923335056,0.8412924572199094,0.6133913715089805,0.893771219318756,0.6035509261880381,0.895326228281092,0.6090113241218781,0.9174498528101072,0.6311490258145812,0.9454839644394051,0.6128546249474394,0.9460086477936005,0.6439007131787812,0.97869316774194,0.6872978215961445,0.10526315789473684,0.8084287496089622,0.6152941512384354
huggyllama/llama-30b,Llama,32.5,1.4,273.0,0.584466128,0.614334471,0.847341167,0.800315706,0.42273876,0.148597422,0.771147904,0.207317073,meta,202302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huggyllama/llama-65b,Llama,65.2,1.4,547.68,0.639306418,0.634812287,0.860884286,0.825572218,0.434287607,0.372251706,0.776834807,0.231707317,meta,202302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Meta-Llama-3-70B,Llama-3,70.0,15.0,6300.0,0.792329339,,0.87980482,0.853196527,0.455623682,0.768764215,0.844706094,0.524390244,meta,202404.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Meta-Llama-3-8B,Llama-3,8.0,15.0,720.0,0.664949549,,0.820155348,0.771112865,0.439522651,0.453373768,0.801151665,0.384146341,meta,202404.0,0.651687794,rllab,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen/Qwen1.5-72B,Qwen1.5,72.0,3.0,1296.0,0.772014583,0.658703072,0.859888468,0.830307814,0.596080564,0.657316149,0.825768095,0.451219512,alibaba,202402.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
