Model,Model Family,Model Size (B),Pretraining Data Size (T),FLOPs (1E21),MMLU,ARC-C,HellaSwag,Winograd,TruthfulQA,GSM8K,XWinograd,HumanEval,Company,Release Date,MMLU-ours,platform,Unnamed: 17,Unnamed: 18,Unnamed: 19,0_107_brier,0_107_san,107_215_brier,107_215_san,215_323_brier,215_323_san,acc,brier,san
meta-llama/Llama-2-7b-hf,Llama-2,7.0,2.0,84.0,0.437960964,0.530716724,0.777434774,0.740331492,0.389802028,0.144806672,0.754881273,0.12804878,meta,202307.0,0.458624128,rllab,,,,0.49611389588099447,0.754162136963142,0.9192591753573192,0.7622852923727982,0.9686392574421601,0.794344741993005,0.13622291021671826,0.7955951009337777,0.7703139082556127
meta-llama/Llama-2-13b-hf,Llama-2,13.0,2.0,156.0,0.543378428,0.58105802,0.809699263,0.766377269,0.34172403,0.228203184,0.786798487,0.182926829,meta,202307.0,0.5491382994,bdsrc,,,,0.5312012030259744,0.8224106857563277,0.8032498330370252,0.8188675834605087,0.9325071337518294,0.8396175473263978,0.14860681114551083,0.7563476196191188,0.8269793730678423
meta-llama/Llama-2-70b-hf,Llama-2,70.0,2.0,840.0,0.698320892,0.673208191,0.873332006,0.837411208,0.449234937,0.540561031,0.824453228,0.298780488,meta,202307.0,,,,,,,,,,,,,,
huggyllama/llama-7b,Llama,6.7,1.0,40.2,0.356933064,0.509385666,0.778131846,0.714285714,0.343279329,0.080363912,0.693204495,0.12804878,meta,202302.0,0.34952286,rllab,,,,0.6116712567005148,0.12945818624808472,0.9582832511227549,0.12774825125090267,0.9770468855531702,0.16091994533112808,0.09597523219814241,0.8497352298079106,0.1394061645801992
huggyllama/llama-13b,Llama,13.0,1.0,78.0,0.476105883,0.561433447,0.809201354,0.762430939,0.394788826,0.075815011,0.730361681,0.158536585,meta,202302.0,,,,,,0.578007628765826,0.5856299351696732,0.8899118616440894,0.6138747411653986,0.9552332295202753,0.6461031087129301,0.10526315789473684,0.8084287496089622,0.6152941512384354
huggyllama/llama-30b,Llama,32.5,1.4,273.0,0.584466128,0.614334471,0.847341167,0.800315706,0.42273876,0.148597422,0.771147904,0.207317073,meta,202302.0,,,,,,,,,,,,,,
huggyllama/llama-65b,Llama,65.2,1.4,547.68,0.639306418,0.634812287,0.860884286,0.825572218,0.434287607,0.372251706,0.776834807,0.231707317,meta,202302.0,,,,,,,,,,,,,,
meta-llama/Meta-Llama-3-70B,Llama-3,70.0,15.0,6300.0,0.792329339,,0.87980482,0.853196527,0.455623682,0.768764215,0.844706094,0.524390244,meta,202404.0,,,,,,,,,,,,,,
meta-llama/Meta-Llama-3-8B,Llama-3,8.0,15.0,720.0,0.664949549,,0.820155348,0.771112865,0.439522651,0.453373768,0.801151665,0.384146341,meta,202404.0,0.651687794,rllab,,,,,,,,,,,,
Qwen/Qwen1.5-72B,Qwen1.5,72.0,3.0,1296.0,0.772014583,0.658703072,0.859888468,0.830307814,0.596080564,0.657316149,0.825768095,0.451219512,alibaba,202402.0,,,,,,,,,,,,,,
Qwen/Qwen1.5-32B,Qwen1.5,32.0,4.0,768.0,0.742996128,0.635665529,0.850029875,0.814522494,0.573944434,0.611068992,0.791176059,0.420731707,alibaba,202402.0,,,,,,0.4265775340565303,0.2896129215124233,0.5640833085616865,0.28013928090830004,0.7315246498967598,0.26356862018381655,0.4148606811145511,0.5745184385682998,0.2777369533120055
Qwen/Qwen1.5-14B,Qwen1.5,14.0,4.0,336.0,0.693602647,0.565699659,0.810794662,0.73480663,0.520609239,0.676269901,0.777502468,0.396341463,alibaba,202402.0,,,,,,0.4888008187670564,0.08175641443720412,0.7891363741763797,0.0719092756389669,0.9164843000451381,0.08709940429260786,0.15789473684210525,0.732225140631576,0.08025038321173653
Qwen/Qwen1.5-7B,Qwen1.5,7.0,4.0,168.0,0.619700217,0.541808874,0.785102569,0.712707182,0.51082277,0.53525398,0.752361398,0.347560976,alibaba,202402.0,0.604828372,rllab,,,,0.5424740767957057,0.08947323968854684,0.7896634238923633,0.0838865281652618,0.9508757481468403,0.09390499057338708,0.17956656346749225,0.7616809807968258,0.08908706089922154
Qwen/Qwen1.5-4B,Qwen1.5,4.0,2.4,57.6,0.565235196,0.484641638,0.715793667,0.662194159,0.472731898,0.522365428,0.688785439,0.262195122,alibaba,202402.0,0.5526278308,rllab,,,,0.5507818986839654,0.014627883975924988,0.835557458489587,0.013853670178950481,0.9594830188315095,0.01559879224529191,0.11764705882352941,0.782656454210101,0.014693651787127398
Qwen/Qwen1.5-1.8B,Qwen1.5,1.8,2.4,25.92,0.467083853,0.37883959,0.614220275,0.602999211,0.394278142,0.3358605,0.643824663,0.182926829,alibaba,202402.0,0.4600484262,rllab,,,,0.4500676932262877,0.002854471878225479,0.9130060724733481,0.002754327725008946,0.9827260438412624,0.0030866333171191067,0.15789473684210525,0.7829607174526028,0.0028986138808667354
Qwen/Qwen1.5-0.5B,Qwen1.5,0.5,2.4,7.2,0.393533408,0.314846416,0.490539733,0.572217837,0.382992684,0.163002274,0.575621493,0.115853659,alibaba,202402.0,0.3886198547,rllab,,,,0.5481659298140342,0.009416300111061057,0.9379858569695065,0.010160844892367028,0.9739988843288164,0.009303630661231452,0.1238390092879257,0.8208919707440269,0.009627577311678539
Qwen/Qwen-72B,Qwen,72.0,3.0,1296.0,0.773737575,0.651877133,0.85939056,0.824782952,0.601910952,0.704321456,0.828731413,0.37195122,alibaba,202311.0,,,,,,,,,,,,,,
Qwen/Qwen-14B,Qwen,14.0,3.0,252.0,0.677042803,0.582764505,0.839872535,0.767955801,0.494329446,0.589840788,0.791508524,0.353658537,alibaba,202309.0,,,,,,,,,,,,,,
Qwen/Qwen-7B,Qwen,7.0,2.4,100.8,0.598387921,0.513651877,0.784704242,0.72691397,0.477859305,0.449583017,0.734576728,0.317073171,alibaba,202308.0,0.5828941746,rllab,,,,0.5451183174002278,0.004605833232429685,0.8035622474344195,0.004473664231505499,0.9540103328174875,0.004316227814896,0.14241486068111456,0.768252317736936,0.004464806491892689
mistralai/Mistral-7B-v0.1,Mistral,7.3,,,0.641644838,0.599829352,0.833100976,0.786108919,0.421531711,0.370735406,0.781857102,0.274390244,mistral,202309.0,0.62590799,rllab,,,,0.47806657586942036,0.8559785045103008,0.7397560200483366,0.857180364697684,0.9274213392090663,0.8744047253960123,0.2043343653250774,0.7158151034607664,0.8625414542189516
mistralai/Mixtral-8x7B-v0.1,Mixtral,45.0,,,0.718783933,0.663822526,0.864568811,0.816890292,0.46805433,0.576194086,0.800190967,0.335365854,mistral,202312.0,,,,,,,,,,,,,,
01-ai/Yi-6B,Yi,6.0,3.0,108.0,0.641070914,0.555460751,0.765684127,0.741910024,0.419616075,0.121304018,0.723879126,0.158536585,01-ai,202311.0,0.6344537815,bdsrc,,,,0.49020177620724736,0.7007938793904143,0.7166505223367574,0.6850477697407106,0.901844552895961,0.6732786875374865,0.21981424148606812,0.7035574556634955,0.6863288002502158
01-ai/Yi-34B,Yi,34.0,3.0,612.0,0.763515673,0.645904437,0.856901016,0.830307814,0.562308393,0.506444276,0.795640491,0.268292683,01-ai,202311.0,,,,,,,,,,,,,,
google/gemma-7b,Gemma,7.0,6.0,252.0,0.660274573,0.610921502,0.824736108,0.784530387,0.449054884,0.527672479,0.783899856,0.335365854,google,202402.0,0.6509756445,bdsrc,,,,0.48521638610372725,0.9089391056927407,0.6470415419484276,0.9040174422442763,0.8599784088764285,0.9080143063316876,0.28792569659442724,0.6646325325144996,0.9069842512548837
google/gemma-2b,Gemma,2.0,6.0,72.0,0.417731464,0.483788396,0.71768572,0.662983425,0.330844343,0.169067475,0.709318357,0.231707317,google,202402.0,0.4119071357,bdsrc,,,,0.5375737227880549,0.7487056954577516,0.7873611881812166,0.7522032315854895,0.9575678714180833,0.7895748635587777,0.14241486068111456,0.7615254698917838,0.7635403829398145
tiiuae/falcon-180B,Falcon,180.0,3.5,3780.0,0.695866104,0.691979522,0.88886676,0.868981847,0.451569509,0.459438969,0.844553352,,tiiuae,202309.0,,,,,,,,,,,,,,
tiiuae/falcon-40b,Falcon,40.0,1.0,240.0,0.569797005,0.619453925,0.852818164,0.812943962,0.417169225,0.214556482,0.784630576,,tiiuae,202309.0,,,,,,,,,,,,,,
tiiuae/falcon-7b,Falcon,7.0,1.5,63.0,0.277854702,0.478668942,0.781318462,0.723756906,0.342638255,0.046247157,0.717572363,,tiiuae,202309.0,0.2707591511,bdsrc,,,,0.616030175816069,0.4671274478007523,0.9250508908842545,0.4541530197143474,0.9662384696918024,0.495972982212689,0.10835913312693499,0.8364534976920541,0.4724341954266264
tiiuae/falcon-rw-1b,Falcon,1.0,0.35,2.1,0.252803188,0.350682594,0.635630353,0.620363062,0.35955599,0.005307051,0.535498701,,tiiuae,202307.0,0.2507477567,bdsrc,,,,0.6182205565069802,0.02816772397716027,0.8884319332768662,0.029381000813093208,0.9563289691305438,0.024797036597019536,0.10835913312693499,0.8216216006385363,0.027446360699220775
microsoft/phi-2,Phi,2.7,1.4,22.68,0.579202667,0.610068259,0.749153555,0.73480663,0.442368784,0.549658832,0.526666391,0.493902439,miscrosoft,202306.0,0.5694345535,bdsrc,,,,0.506175586961738,0.7372066564905364,0.9050336601316947,0.7799274610825568,0.979047425036694,0.8217439849068856,0.1238390092879257,0.7976518421148354,0.779757363502623
microsoft/phi-1_5,Phi,1.3,0.15,1.17,0.438864678,0.529010239,0.637920733,0.722178374,0.408899386,0.124336619,0.511112784,0.341463415,miscrosoft,202306.0,0.4246546076,bdsrc,,,,0.6229456152514709,0.6422671712797727,0.9682774697211899,0.6402320775699815,0.9963757721022423,0.6734551438867442,0.10526315789473684,0.8632747088199322,0.6520148831091703
EleutherAI/pythia-1b-deduped,Pythia,1.0,0.3,1.8,0.242710646,0.290955631,0.496514639,0.535911602,0.389393782,0.011372252,0.56099166,0.042682927,EleutherAI,202302.0,0.2493946731,bdsrc,,,,0.5441853802885454,0.42986061281851706,0.8904565884883849,0.41408391502756925,0.9531154710267873,0.45001935281008715,0.13622291021671826,0.7966985081068506,0.43132581578343077
EleutherAI/pythia-410m-deduped,Pythia,0.41,0.3,0.738,0.259888196,0.248293515,0.412865963,0.543804262,0.409475786,0.0030326,0.536312165,0.012195122,EleutherAI,202302.0,0.2551630822,bdsrc,,,,0.48596856981067676,0.19392645783337445,0.9786166289133618,0.22526682465675735,0.9964989607373546,0.2646610044529526,0.12693498452012383,0.8213966583653864,0.22805676944897743
