Model,Model Family,Model Size (B),Pretraining Data Size (T),FLOPs (1E21),MMLU,ARC-C,HellaSwag,Winograd,TruthfulQA,GSM8K,XWinograd,HumanEval,Company,Release Date,MMLU-ours,platform,Unnamed: 17,Unnamed: 18,Unnamed: 19,0_354_brier,0_354_san,354_709_brier,354_709_san,709_1064_brier,709_1064_san,1064_1419_brier,1064_1419_san,1419_1774_brier,1419_1774_san,1774_2128_brier,1774_2128_san,2128_2483_brier,2128_2483_san,2483_2838_brier,2483_2838_san,2838_3193_brier,2838_3193_san,3193_3548_brier,3193_3548_san,acc,brier,san
meta-llama/Llama-2-7b-hf,Llama-2,7.0,2.0,84.0,0.437960964,0.530716724,0.777434774,0.740331492,0.389802028,0.144806672,0.754881273,0.12804878,meta,202307.0,0.458624128,rllab,,,,0.0008476713424080782,0.0812886124867504,0.006141308675932303,0.09521822677009231,0.01564300193653432,0.10922201222413389,0.031513220225973304,0.08039293899801042,0.0669970392566783,0.07298747667126575,0.13190284202161903,0.05642605482299056,0.26740630470848215,0.04999793360762113,0.4668341916557765,0.023476169160389995,0.8157526606541646,0.019413062383411065,0.980531185645856,0.0071270255099175625,0.6809470124013529,0.27847643623462565,0.05954970753043046
meta-llama/Llama-2-13b-hf,Llama-2,13.0,2.0,156.0,0.543378428,0.58105802,0.809699263,0.766377269,0.34172403,0.228203184,0.786798487,0.182926829,meta,202307.0,0.5491382994,bdsrc,,,,0.0007208997025874111,0.08693819923829231,0.005532706705952573,0.10798433595704468,0.013819319675268327,0.12551892538171636,0.0350062662976103,0.09898834597378903,0.04927440241161173,0.0843744558410721,0.10850407669180552,0.065680364162724,0.22089354489951868,0.06199123039665,0.360666273748238,0.033502026905236355,0.6884926524649263,0.020522191206102092,0.962693526940408,0.007158228806401952,0.7181510710259301,0.24466744016616962,0.06926186000848483
meta-llama/Llama-2-70b-hf,Llama-2,70.0,2.0,840.0,0.698320892,0.673208191,0.873332006,0.837411208,0.449234937,0.540561031,0.824453228,0.298780488,meta,202307.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huggyllama/llama-7b,Llama,6.7,1.0,40.2,0.356933064,0.509385666,0.778131846,0.714285714,0.343279329,0.080363912,0.693204495,0.12804878,meta,202302.0,0.34952286,rllab,,,,0.0011223928798582187,0.06968344698099711,0.0075762315354262035,0.08730478272216592,0.016388555398817523,0.0972631784117466,0.043505382182034404,0.07586579844274331,0.09512691927433622,0.06463137890214365,0.164050203915002,0.04960368645665274,0.3077908536053877,0.046505002449085356,0.5081496977211604,0.022295079277894193,0.8463859915352826,0.016416660959078316,0.9877997816905244,0.006611475928469619,0.6578354002254791,0.29791091061446895,0.053614652481696466
huggyllama/llama-13b,Llama,13.0,1.0,78.0,0.476105883,0.561433447,0.809201354,0.762430939,0.394788826,0.075815011,0.730361681,0.158536585,meta,202302.0,,,,,,0.0008772170404021768,0.07110012852521923,0.009214643719182384,0.0899479946102459,0.006829801010344677,0.1028951949071424,0.04095345267298697,0.07594693043998832,0.0680809525200153,0.06800225812013604,0.11976111020482016,0.052548978370519264,0.22901668773067688,0.05325036814809414,0.4227769493092279,0.024773211653358305,0.7475533632994859,0.01759171826094685,0.9783815164686809,0.006235618977049797,0.7003945885005637,0.2624584506860683,0.05622608613517832
huggyllama/llama-30b,Llama,32.5,1.4,273.0,0.584466128,0.614334471,0.847341167,0.800315706,0.42273876,0.148597422,0.771147904,0.207317073,meta,202302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huggyllama/llama-65b,Llama,65.2,1.4,547.68,0.639306418,0.634812287,0.860884286,0.825572218,0.434287607,0.372251706,0.776834807,0.231707317,meta,202302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Meta-Llama-3-70B,Llama-3,70.0,15.0,6300.0,0.792329339,,0.87980482,0.853196527,0.455623682,0.768764215,0.844706094,0.524390244,meta,202404.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Meta-Llama-3-8B,Llama-3,8.0,15.0,720.0,0.664949549,,0.820155348,0.771112865,0.439522651,0.453373768,0.801151665,0.384146341,meta,202404.0,0.651687794,rllab,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen/Qwen1.5-72B,Qwen1.5,72.0,3.0,1296.0,0.772014583,0.658703072,0.859888468,0.830307814,0.596080564,0.657316149,0.825768095,0.451219512,alibaba,202402.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen/Qwen1.5-32B,Qwen1.5,32.0,4.0,768.0,0.742996128,0.635665529,0.850029875,0.814522494,0.573944434,0.611068992,0.791176059,0.420731707,alibaba,202402.0,,,,,,0.003835476929822094,0.0948429008441458,0.008241958064228713,0.12008640173574815,0.01433573239104386,0.12203785508365854,0.02545423624326416,0.09404847938951173,0.04267216303920328,0.08967235667210187,0.0876023477192427,0.07900460563709012,0.17098989779091944,0.0697307528493426,0.30608021505305316,0.03404516246136947,0.5596168574147772,0.01753889999140562,0.9163434306465166,0.005219197807020397,0.7545095828635852,0.21361181908231058,0.07261459975221642
