Model,Model Family,Model Size (B),Pretraining Data Size (T),FLOPs (1E21),MMLU,ARC-C,HellaSwag,Winograd,TruthfulQA,GSM8K,XWinograd,HumanEval,Company,Release Date,MMLU-ours,platform,Unnamed: 17,Unnamed: 18,Unnamed: 19,0_1502_acc,0_1502_san,1502_3004_acc,1502_3004_san,3004_4506_acc,3004_4506_san,4506_6009_acc,4506_6009_san,6009_7511_acc,6009_7511_san,7511_9013_acc,7511_9013_san,9013_10516_acc,9013_10516_san,10516_12018_acc,10516_12018_san,12018_13520_acc,12018_13520_san,13520_15023_acc,13520_15023_san,brier,san
meta-llama/Llama-2-7b-hf,Llama-2,7.0,2.0,84.0,0.437960964,0.530716724,0.777434774,0.740331492,0.389802028,0.144806672,0.754881273,0.12804878,meta,202307.0,0.458624128,rllab,,,,0.08322237017310254,0.8132824746987242,0.17709720372836218,0.7667153223985291,0.3055925432756325,0.7705624618150135,0.4091816367265469,0.7740164841927494,0.49267643142476697,0.7777589941600066,0.566577896138482,0.7816950083577761,0.6620093147039254,0.7974608438470794,0.7756324900133156,0.8178517447256577,0.8721704394141145,0.8333601642031989,0.9600798403193613,0.8593556562369828,0.4012387986242451,0.7992081264226282
meta-llama/Llama-2-13b-hf,Llama-2,13.0,2.0,156.0,0.543378428,0.58105802,0.809699263,0.766377269,0.34172403,0.228203184,0.786798487,0.182926829,meta,202307.0,0.5491382994,bdsrc,,,,0.22569906790945407,0.8755185225561389,0.3355525965379494,0.839492535147237,0.5053262316910786,0.8543200996476369,0.6074517631403858,0.85709970250065,0.6910785619174434,0.8662702747932358,0.7656458055925432,0.8579542315771771,0.8376580172987359,0.8734037221439481,0.9374167776298269,0.8892051366763343,0.9587217043941412,0.9093888087562869,0.9840319361277445,0.9305951788435205,0.27085594314514994,0.8753271592885616
meta-llama/Llama-2-70b-hf,Llama-2,70.0,2.0,840.0,0.698320892,0.673208191,0.873332006,0.837411208,0.449234937,0.540561031,0.824453228,0.298780488,meta,202307.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
huggyllama/llama-7b,Llama,6.7,1.0,40.2,0.356933064,0.509385666,0.778131846,0.714285714,0.343279329,0.080363912,0.693204495,0.12804878,meta,202302.0,0.34952286,rllab,,,,0.0019973368841544607,0.9067133711332545,0.021970705725699067,0.8648852830462587,0.05725699067909454,0.8566752113786545,0.1383898868928809,0.8483144633999101,0.2403462050599201,0.8351359821354396,0.33422103861517977,0.8315178800107014,0.5149700598802395,0.8411048671277737,0.7390146471371505,0.8692391523872963,0.8695073235685752,0.9039691994535258,0.9700598802395209,0.9388176018400288,0.5174535844161053,0.8696385875541148
huggyllama/llama-13b,Llama,13.0,1.0,78.0,0.476105883,0.561433447,0.809201354,0.762430939,0.394788826,0.075815011,0.730361681,0.158536585,meta,202302.0,,,,,,0.061917443408788284,1.0274725355455054,0.12117177097203728,0.9958355290825331,0.22636484687083888,0.9970361707619859,0.32202262142381904,0.996929000762306,0.42543275632490013,0.999885948327218,0.5326231691078562,0.9879993831818848,0.6879574184963406,0.9834112789913279,0.8588548601864181,0.9773089357059658,0.9374167776298269,0.9768532953759801,0.9793745841650033,0.984477525469369,0.4063886481691541,0.9927200720107674
huggyllama/llama-30b,Llama,32.5,1.4,273.0,0.584466128,0.614334471,0.847341167,0.800315706,0.42273876,0.148597422,0.771147904,0.207317073,meta,202302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
huggyllama/llama-65b,Llama,65.2,1.4,547.68,0.639306418,0.634812287,0.860884286,0.825572218,0.434287607,0.372251706,0.776834807,0.231707317,meta,202302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Meta-Llama-3-70B,Llama-3,70.0,15.0,6300.0,0.792329339,,0.87980482,0.853196527,0.455623682,0.768764215,0.844706094,0.524390244,meta,202404.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Meta-Llama-3-8B,Llama-3,8.0,15.0,720.0,0.664949549,,0.820155348,0.771112865,0.439522651,0.453373768,0.801151665,0.384146341,meta,202404.0,0.651687794,rllab,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen/Qwen1.5-72B,Qwen1.5,72.0,3.0,1296.0,0.772014583,0.658703072,0.859888468,0.830307814,0.596080564,0.657316149,0.825768095,0.451219512,alibaba,202402.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen/Qwen1.5-32B,Qwen1.5,32.0,4.0,768.0,0.742996128,0.635665529,0.850029875,0.814522494,0.573944434,0.611068992,0.791176059,0.420731707,alibaba,202402.0,,,,,,0.7623169107856191,1.0757035487205016,0.8874833555259654,0.9826071473187833,0.9101198402130493,0.9833290352780621,0.9161676646706587,0.9909801660892671,0.9387483355525965,0.9972107868891983,0.9580559254327563,0.9868218942689148,0.9700598802395209,0.981917148393552,0.9866844207723036,0.9715418975539574,0.992676431424767,0.9625369241242248,1.0,0.9725427888079385,0.051835973565835816,0.9905173952569253
