Model,Model Family,Model Size (B),Pretraining Data Size (T),FLOPs (1E21),MMLU,ARC-C,HellaSwag,Winograd,TruthfulQA,GSM8K,XWinograd,HumanEval,Company,Release Date,MMLU-ours,platform,Unnamed: 17,Unnamed: 18,Unnamed: 19,0_1502_brier,0_1502_san,1502_3004_brier,1502_3004_san,3004_4506_brier,3004_4506_san,4506_6009_brier,4506_6009_san,6009_7511_brier,6009_7511_san,7511_9013_brier,7511_9013_san,9013_10516_brier,9013_10516_san,10516_12018_brier,10516_12018_san,12018_13520_brier,12018_13520_san,13520_15023_brier,13520_15023_san,acc,brier,san
meta-llama/Llama-2-7b-hf,Llama-2,7.0,2.0,84.0,0.437960964,0.530716724,0.777434774,0.740331492,0.389802028,0.144806672,0.754881273,0.12804878,meta,202307.0,0.458624128,rllab,,,,0.07089269940243977,0.861688209865642,0.1555079913032654,0.8351586393147865,0.24184686131126493,0.8208273395641974,0.32257749092345417,0.8090846551084991,0.38069271037295427,0.7972715747664108,0.4216050834430175,0.780914012880161,0.47237033691201014,0.7740583239725435,0.5375589687811432,0.7645872777187985,0.6345540474927247,0.7663448095316938,0.7745382745249075,0.7821679351287429,0.5304533049324369,0.4012387986242451,0.7992081264226282
meta-llama/Llama-2-13b-hf,Llama-2,13.0,2.0,156.0,0.543378428,0.58105802,0.809699263,0.766377269,0.34172403,0.228203184,0.786798487,0.182926829,meta,202307.0,0.5491382994,bdsrc,,,,0.025318781083513892,0.9339707640374272,0.05508374776526792,0.9088927331360285,0.08129239370547488,0.894146628995709,0.16635835113988007,0.888409738604328,0.22862418409193422,0.8754884606911474,0.2579309635531191,0.8644253118626681,0.31926553153667114,0.8626911981460536,0.3743778590342788,0.8492452670446126,0.5100657708314597,0.8390378764973897,0.6900001335389352,0.8369888413667291,0.6848831791253411,0.27085594314514994,0.8753271592885616
meta-llama/Llama-2-70b-hf,Llama-2,70.0,2.0,840.0,0.698320892,0.673208191,0.873332006,0.837411208,0.449234937,0.540561031,0.824453228,0.298780488,meta,202307.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huggyllama/llama-7b,Llama,6.7,1.0,40.2,0.356933064,0.509385666,0.778131846,0.714285714,0.343279329,0.080363912,0.693204495,0.12804878,meta,202302.0,0.34952286,rllab,,,,0.06301186373872375,0.9407725835217307,0.1543845103037838,0.9072427278815618,0.289647382209024,0.8696389633438512,0.4399476148932654,0.8485475669790125,0.5250606145396601,0.8406824904685309,0.585490239598974,0.8386342940141414,0.646967464173329,0.843066705485479,0.7333460248894584,0.8462650713265204,0.8241786942182198,0.8614780971377247,0.9122039933069184,0.9000688485128707,0.38880383412101444,0.5174535844161053,0.8696385875541148
huggyllama/llama-13b,Llama,13.0,1.0,78.0,0.476105883,0.561433447,0.809201354,0.762430939,0.394788826,0.075815011,0.730361681,0.158536585,meta,202302.0,,,,,,0.026000026791056882,0.9832706123862135,0.08443752401766265,0.9774733712009844,0.16301921479975387,0.9790006208673793,0.29350543779639937,0.9962755428219604,0.3938085549724794,1.0016071396593291,0.450464207584918,0.9960789725500565,0.5262714830358747,0.9973394941869158,0.5790440031726952,0.9952177658079608,0.7047206033825774,1.0041332800890204,0.8423205316587773,0.9967957643558709,0.5153431405178726,0.4063886481691541,0.9927200720107674
huggyllama/llama-30b,Llama,32.5,1.4,273.0,0.584466128,0.614334471,0.847341167,0.800315706,0.42273876,0.148597422,0.771147904,0.207317073,meta,202302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huggyllama/llama-65b,Llama,65.2,1.4,547.68,0.639306418,0.634812287,0.860884286,0.825572218,0.434287607,0.372251706,0.776834807,0.231707317,meta,202302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Meta-Llama-3-70B,Llama-3,70.0,15.0,6300.0,0.792329339,,0.87980482,0.853196527,0.455623682,0.768764215,0.844706094,0.524390244,meta,202404.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Meta-Llama-3-8B,Llama-3,8.0,15.0,720.0,0.664949549,,0.820155348,0.771112865,0.439522651,0.453373768,0.801151665,0.384146341,meta,202404.0,0.651687794,rllab,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen/Qwen1.5-72B,Qwen1.5,72.0,3.0,1296.0,0.772014583,0.658703072,0.859888468,0.830307814,0.596080564,0.657316149,0.825768095,0.451219512,alibaba,202402.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
