Model,Model Family,Model Size (B),Pretraining Data Size (T),FLOPs (1E21),MMLU,ARC-C,HellaSwag,Winograd,TruthfulQA,GSM8K,XWinograd,HumanEval,Company,Release Date,MMLU-ours,platform,Unnamed: 17,Unnamed: 18,Unnamed: 19,0_1502_brier,0_1502_san,1502_3004_brier,1502_3004_san,3004_4506_brier,3004_4506_san,4506_6009_brier,4506_6009_san,6009_7511_brier,6009_7511_san,7511_9013_brier,7511_9013_san,9013_10516_brier,9013_10516_san,10516_12018_brier,10516_12018_san,12018_13520_brier,12018_13520_san,13520_15023_brier,13520_15023_san,acc,brier,san
meta-llama/Llama-2-7b-hf,Llama-2,7.0,2.0,84.0,0.437960964,0.530716724,0.777434774,0.740331492,0.389802028,0.144806672,0.754881273,0.12804878,meta,202307.0,0.458624128,rllab,,,,0.1311045902684595,0.872875460344437,0.22904780566015906,0.8429429715790347,0.3151215795185917,0.8389026619578795,0.4079083567661647,0.8241921266554323,0.4766452835176352,0.7954604526358489,0.52859173906941,0.7840667317328801,0.5706247697839226,0.7659708427375189,0.6396389000683331,0.7555906216163216,0.7147666730905834,0.7504788380406366,0.839390658400184,0.7616310698024921,0.5304533049324369,0.4853081367711107,0.7992081264226282
meta-llama/Llama-2-13b-hf,Llama-2,13.0,2.0,156.0,0.543378428,0.58105802,0.809699263,0.766377269,0.34172403,0.228203184,0.786798487,0.182926829,meta,202307.0,0.5491382994,bdsrc,,,,0.04049644157499968,0.9436813580875525,0.07883480295058712,0.91702118420019,0.12825727331351697,0.910781416638848,0.2165901178632127,0.8967053261940007,0.2714269918418996,0.8793174070258398,0.328025693125627,0.8664380248166992,0.3684140932604814,0.8527646484583125,0.4323606462120851,0.8426248417884203,0.570821872283988,0.825664200202078,0.7884400400350244,0.8183119335227137,0.6848831791253411,0.3223938453629909,0.8753271592885616
meta-llama/Llama-2-70b-hf,Llama-2,70.0,2.0,840.0,0.698320892,0.673208191,0.873332006,0.837411208,0.449234937,0.540561031,0.824453228,0.298780488,meta,202307.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huggyllama/llama-7b,Llama,6.7,1.0,40.2,0.356933064,0.509385666,0.778131846,0.714285714,0.343279329,0.080363912,0.693204495,0.12804878,meta,202302.0,0.34952286,rllab,,,,0.0985003098767679,0.9481126329623802,0.1838491519176597,0.917452247192715,0.3271007383973998,0.892385060205295,0.5028876469459884,0.8575400919618206,0.587961858278167,0.8414192165736771,0.6410743649094234,0.8400295808717251,0.7081890251757512,0.8363932150152195,0.7855778701801426,0.8368157062003135,0.8474375549200862,0.8491587048018473,0.935606252652242,0.8771046380102572,0.38880383412101444,0.5618491787493652,0.8696385875541148
huggyllama/llama-13b,Llama,13.0,1.0,78.0,0.476105883,0.561433447,0.809201354,0.762430939,0.394788826,0.075815011,0.730361681,0.158536585,meta,202302.0,,,,,,0.03369761718666448,0.9868524387739963,0.09223519171705781,0.9788437961815,0.16875511737416143,0.9930193289809482,0.29422322793486017,1.001887229412096,0.39301602571621724,0.9981725769820344,0.4595054207601976,0.9987802381424405,0.514421705373679,0.9938913103906046,0.5803680346657848,0.9948409995797552,0.70411633763984,0.9984539745802132,0.865099958729401,0.9824587757528399,0.5153431405178726,0.4105732928052324,0.9927200720107674
huggyllama/llama-30b,Llama,32.5,1.4,273.0,0.584466128,0.614334471,0.847341167,0.800315706,0.42273876,0.148597422,0.771147904,0.207317073,meta,202302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huggyllama/llama-65b,Llama,65.2,1.4,547.68,0.639306418,0.634812287,0.860884286,0.825572218,0.434287607,0.372251706,0.776834807,0.231707317,meta,202302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Meta-Llama-3-70B,Llama-3,70.0,15.0,6300.0,0.792329339,,0.87980482,0.853196527,0.455623682,0.768764215,0.844706094,0.524390244,meta,202404.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Meta-Llama-3-8B,Llama-3,8.0,15.0,720.0,0.664949549,,0.820155348,0.771112865,0.439522651,0.453373768,0.801151665,0.384146341,meta,202404.0,0.651687794,rllab,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen/Qwen1.5-72B,Qwen1.5,72.0,3.0,1296.0,0.772014583,0.658703072,0.859888468,0.830307814,0.596080564,0.657316149,0.825768095,0.451219512,alibaba,202402.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen/Qwen1.5-32B,Qwen1.5,32.0,4.0,768.0,0.742996128,0.635665529,0.850029875,0.814522494,0.573944434,0.611068992,0.791176059,0.420731707,alibaba,202402.0,,,,,,0.012643323550459261,0.9743277601648999,0.01786560162241408,0.966847228528202,0.01960068772008932,0.9959429027534725,0.027563226908889252,1.0193211680224374,0.0311817408810698,1.010180422361978,0.04340427233777142,1.0079299335633185,0.0594502953114179,0.992732244148983,0.07252777819641279,0.9861336065579039,0.09250699698513404,0.9974832367033913,0.18069726525806187,0.9542789250300194,0.9322372362377688,0.05575080718382481,0.9905173952569253
Qwen/Qwen1.5-14B,Qwen1.5,14.0,4.0,336.0,0.693602647,0.565699659,0.810794662,0.73480663,0.520609239,0.676269901,0.777502468,0.396341463,alibaba,202402.0,,,,,,0.013187334160482747,0.9904888040020356,0.026108268136822186,0.9879093431829173,0.03323331494727598,1.0121781946719945,0.06523472629572791,1.0302944058566326,0.09103050279854316,1.0186369556937294,0.12441556757679244,1.020029775011691,0.16081335293998542,1.0096310732524083,0.21036783975614465,1.0027848770924548,0.27878741008989044,1.013423440157547,0.43363637991175613,0.9847663038179925,0.8126872129401584,0.1436966889950412,1.0070145601569238
Qwen/Qwen1.5-7B,Qwen1.5,7.0,4.0,168.0,0.619700217,0.541808874,0.785102569,0.712707182,0.51082277,0.53525398,0.752361398,0.347560976,alibaba,202402.0,0.604828372,rllab,,,,0.10451067627794304,0.9353165925740745,0.14180471540256595,0.9322958188841104,0.13295995684602302,0.9534762847537137,0.16327468828971062,0.97202228444543,0.20496566592297166,0.9488369969164359,0.23474163762862968,0.9567816156820887,0.2897889778178843,0.9459912727488793,0.33892374575188483,0.936299448871434,0.3777663183561812,0.9481388329071503,0.5389129198951711,0.9030782640769007,0.7222924848565533,0.25278048515435153,0.9432231701015275
Qwen/Qwen1.5-4B,Qwen1.5,4.0,2.4,57.6,0.565235196,0.484641638,0.715793667,0.662194159,0.472731898,0.522365428,0.688785439,0.262195122,alibaba,202402.0,0.5526278308,rllab,,,,0.304795500182254,0.8602297876218733,0.3336983947624976,0.866391450489004,0.3190483462961682,0.8808945658268792,0.34155111901437557,0.8983180093352952,0.36938930828882244,0.8869061920502798,0.4007950346173978,0.8953132798387172,0.42964054916164385,0.8925837467285629,0.48811277100890854,0.8820640625636427,0.589574223122405,0.9015140538468605,0.7734057905780706,0.8834003912892321,0.5406376888770552,0.43501705219208125,0.8847628864149663
Qwen/Qwen1.5-1.8B,Qwen1.5,1.8,2.4,25.92,0.467083853,0.37883959,0.614220275,0.602999211,0.394278142,0.3358605,0.643824663,0.182926829,alibaba,202402.0,0.4600484262,rllab,,,,0.35895383880246595,0.6992765312637974,0.4582496924470841,0.6352323684953044,0.5033643022213099,0.6300493136029285,0.6102538686391593,0.6226675263772119,0.6727614716621212,0.6120230468446286,0.7064617517498868,0.6030533719422464,0.7553660214044468,0.5914613173737706,0.79921194366418,0.5742412369455758,0.8612978112947138,0.5777306861204831,0.9091323250883453,0.5803056175429412,0.40191706050722226,0.6635242227737257,0.6126012142220376
Qwen/Qwen1.5-0.5B,Qwen1.5,0.5,2.4,7.2,0.393533408,0.314846416,0.490539733,0.572217837,0.382992684,0.163002274,0.575621493,0.115853659,alibaba,202402.0,0.3886198547,rllab,,,,0.2411596440120212,0.8541775254781147,0.3827611696111925,0.8051625782928442,0.47850173116148054,0.8098717924958143,0.5498194461495673,0.8152007834872069,0.5909193275087249,0.8049791907150556,0.6265833101771605,0.7988407841284825,0.6829126844085655,0.7816137080122014,0.7479144284976593,0.7661134439070034,0.8592989837022825,0.7819942638919534,0.9454296686802773,0.7862703713287488,0.3486653797510484,0.6105531087965432,0.8004212338649006
Qwen/Qwen-72B,Qwen,72.0,3.0,1296.0,0.773737575,0.651877133,0.85939056,0.824782952,0.601910952,0.704321456,0.828731413,0.37195122,alibaba,202311.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen/Qwen-14B,Qwen,14.0,3.0,252.0,0.677042803,0.582764505,0.839872535,0.767955801,0.494329446,0.589840788,0.791508524,0.353658537,alibaba,202309.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen/Qwen-7B,Qwen,7.0,2.4,100.8,0.598387921,0.513651877,0.784704242,0.72691397,0.477859305,0.449583017,0.734576728,0.317073171,alibaba,202308.0,0.5828941746,rllab,,,,0.2643814376484782,0.9203678181971873,0.34811684520363634,0.9228938032792319,0.3366256261836669,0.9456141279179093,0.364175622834524,0.9530802052236637,0.42315280635953956,0.9482416293139662,0.4541141738625704,0.9538741425693932,0.48535085245827525,0.9444342747797624,0.5411529513792632,0.9364731244385773,0.5896675196226,0.9506771317195368,0.7316979601799992,0.9076172146987541,0.4908473673700326,0.4538582033965113,0.9383266915293891
