Model,Model Family,Model Size (B),Pretraining Data Size (T),FLOPs (1E21),MMLU,ARC-C,HellaSwag,Winograd,TruthfulQA,GSM8K,XWinograd,HumanEval,Company,Release Date,MMLU-ours,platform,Unnamed: 17,Unnamed: 18,Unnamed: 19,0_10_brier,0_10_san,10_20_brier,10_20_san,20_30_brier,20_30_san,30_41_brier,30_41_san,41_51_brier,41_51_san,51_61_brier,51_61_san,61_72_brier,61_72_san,72_82_brier,72_82_san,82_92_brier,82_92_san,92_103_brier,92_103_san,acc,brier,san
meta-llama/Llama-2-7b-hf,Llama-2,7.0,2.0,84.0,0.437960964,0.530716724,0.777434774,0.740331492,0.389802028,0.144806672,0.754881273,0.12804878,meta,202307.0,0.458624128,rllab,,,,0.12005859105279862,0.9505322541613479,0.49679059593570907,0.9140504459378065,0.48223668715553564,0.928697979388175,0.3543956831993546,0.9568385832726647,0.22724471057820464,0.9301848269339008,0.6457139050822704,0.9079251102647923,0.5602588411676473,0.9235786121262362,0.478109718568005,0.9671898663673894,0.40496173346028314,0.9603607456719233,0.6321371668971828,0.9529635332598189,0.44660194174757284,0.44238706817703016,0.939384468956304
meta-llama/Llama-2-13b-hf,Llama-2,13.0,2.0,156.0,0.543378428,0.58105802,0.809699263,0.766377269,0.34172403,0.228203184,0.786798487,0.182926829,meta,202307.0,0.5491382994,bdsrc,,,,0.0404437087785745,0.9821537860296052,0.31958755448491305,0.9364513461699691,0.281123807691192,0.9743667553851214,0.22836891232067372,0.9780053532237555,0.13561564604503573,0.9683138273975581,0.46845904898186524,0.9488933109873015,0.2768906783044617,0.9603429717308877,0.34190012899365535,0.9686811098551684,0.39969298329891684,0.9732362276321129,0.5596980806803268,0.9695562525304389,0.6699029126213593,0.30662876861263694,0.9660962523000416
meta-llama/Llama-2-70b-hf,Llama-2,70.0,2.0,840.0,0.698320892,0.673208191,0.873332006,0.837411208,0.449234937,0.540561031,0.824453228,0.298780488,meta,202307.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huggyllama/llama-7b,Llama,6.7,1.0,40.2,0.356933064,0.509385666,0.778131846,0.714285714,0.343279329,0.080363912,0.693204495,0.12804878,meta,202302.0,0.34952286,rllab,,,,0.19612469223627468,0.9029865102643125,0.41840648015206633,0.8885722816980509,0.40318431172354374,0.9033195970857101,0.4655315540541585,0.9165651984676786,0.41609824861567607,0.8801546179667319,0.5812062863510599,0.9230169471422791,0.6282635425546351,0.8748631705197394,0.6046834744213546,0.905981374951541,0.6752208591325743,0.926108631215919,0.774232359615512,0.9085134987903088,0.33980582524271846,0.5193936460659498,0.9029200014446646
huggyllama/llama-13b,Llama,13.0,1.0,78.0,0.476105883,0.561433447,0.809201354,0.762430939,0.394788826,0.075815011,0.730361681,0.158536585,meta,202302.0,,,,,,0.18477545451403402,0.9705957548723811,0.4151542134154466,0.9360309155234289,0.449749005586862,0.9626445979521165,0.3848177553934575,0.9554606366943134,0.3823377956224603,0.9567502098623905,0.4369340003131458,0.9285677623177631,0.5553313000025581,0.9315310585697243,0.5622645087430729,0.9563506155897116,0.6515603334667268,0.969205496536038,0.7013930545789507,0.9643843126142998,0.42718446601941745,0.4746088963722536,0.9530736855650485
huggyllama/llama-30b,Llama,32.5,1.4,273.0,0.584466128,0.614334471,0.847341167,0.800315706,0.42273876,0.148597422,0.771147904,0.207317073,meta,202302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huggyllama/llama-65b,Llama,65.2,1.4,547.68,0.639306418,0.634812287,0.860884286,0.825572218,0.434287607,0.372251706,0.776834807,0.231707317,meta,202302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Meta-Llama-3-70B,Llama-3,70.0,15.0,6300.0,0.792329339,,0.87980482,0.853196527,0.455623682,0.768764215,0.844706094,0.524390244,meta,202404.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Meta-Llama-3-8B,Llama-3,8.0,15.0,720.0,0.664949549,,0.820155348,0.771112865,0.439522651,0.453373768,0.801151665,0.384146341,meta,202404.0,0.651687794,rllab,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen/Qwen1.5-72B,Qwen1.5,72.0,3.0,1296.0,0.772014583,0.658703072,0.859888468,0.830307814,0.596080564,0.657316149,0.825768095,0.451219512,alibaba,202402.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen/Qwen1.5-32B,Qwen1.5,32.0,4.0,768.0,0.742996128,0.635665529,0.850029875,0.814522494,0.573944434,0.611068992,0.791176059,0.420731707,alibaba,202402.0,,,,,,0.006489225907491883,0.0704610347607427,0.2486238300055072,0.16026146605515473,0.08361839414737918,0.06376459221131298,0.2138479779129743,0.06333701703820392,0.08465052720984881,0.05839575751657274,0.2529802029593072,0.07389346290674119,0.07874728061200591,0.06740976211546783,0.15792979338588725,0.07246498222149678,0.2134065948275175,0.06853338767949083,0.354559011142616,0.06778679752065787,0.7961165048543689,0.17083187039585385,0.07632637064983247
Qwen/Qwen1.5-14B,Qwen1.5,14.0,4.0,336.0,0.693602647,0.565699659,0.810794662,0.73480663,0.520609239,0.676269901,0.777502468,0.396341463,alibaba,202402.0,,,,,,0.0026177609811289786,0.06056003670991722,0.2835671030252319,0.14848152413335308,0.15974933079302273,0.05668083713065468,0.19560946828185238,0.052292252221932484,0.14690496666690772,0.052947846801799626,0.22918823137445538,0.05637528788462799,0.1372359490129466,0.0561371300700733,0.2833809268464243,0.058278023817800395,0.25120770102247103,0.058098693221385424,0.36237459038103065,0.05692821711059648,0.7281553398058253,0.20595709020903447,0.06537044747984475
Qwen/Qwen1.5-7B,Qwen1.5,7.0,4.0,168.0,0.619700217,0.541808874,0.785102569,0.712707182,0.51082277,0.53525398,0.752361398,0.347560976,alibaba,202402.0,0.604828372,rllab,,,,0.0034864670381901212,0.025006857225738543,0.35202431785657107,0.09759591725308905,0.2985517144637625,0.025681443226316325,0.15238382539259165,0.03123481974192063,0.04573848137902514,0.03122509541582156,0.287608328611423,0.022016493761252354,0.3792231358618183,0.02541720946986913,0.34864812705757064,0.02960336812919965,0.37389870765195976,0.02753989680027085,0.5265018584634317,0.029485654564701355,0.6407766990291263,0.2790170724027308,0.03431267222969209
Qwen/Qwen1.5-4B,Qwen1.5,4.0,2.4,57.6,0.565235196,0.484641638,0.715793667,0.662194159,0.472731898,0.522365428,0.688785439,0.262195122,alibaba,202402.0,0.5526278308,rllab,,,,0.09178866340425376,0.044171250625363645,0.42310110275843843,0.10336304803530132,0.3140881265741275,0.057052627217421104,0.35498650934687215,0.049589613862978436,0.16258031390718206,0.04462453237892381,0.331554111198286,0.05267765679683069,0.29004004000438544,0.03705583867852096,0.49074058756256117,0.05386572131132986,0.4194196103615389,0.050755179108204984,0.47630493675894486,0.04702939715969857,0.5728155339805825,0.33657642237743773,0.05374294661598962
