Model,Model Family,Model Size (B),Pretraining Data Size (T),FLOPs (1E21),MMLU,ARC-C,HellaSwag,Winograd,TruthfulQA,GSM8K,XWinograd,HumanEval,Company,Release Date,MMLU-ours,platform,Unnamed: 17,Unnamed: 18,Unnamed: 19,0_1004_brier,0_1004_san,1004_2008_brier,1004_2008_san,2008_3012_brier,2008_3012_san,3012_4016_brier,3012_4016_san,4016_5021_brier,4016_5021_san,5021_6025_brier,5021_6025_san,6025_7029_brier,6025_7029_san,7029_8033_brier,7029_8033_san,8033_9037_brier,8033_9037_san,9037_10042_brier,9037_10042_san,acc,brier,san
meta-llama/Llama-2-7b-hf,Llama-2,7.0,2.0,84.0,0.437960964,0.530716724,0.777434774,0.740331492,0.389802028,0.144806672,0.754881273,0.12804878,meta,202307.0,0.458624128,rllab,,,,9.950477104417058e-13,6.989425107736157e-05,7.680330974806192e-05,0.0002107218738185796,0.0023460833730028,1.1554316700647847e-05,0.004620820719713843,5.204342522259452e-06,0.03539118932231768,1.0138758017861386e-05,0.2523834150523678,7.003058735756102e-06,0.8286534941677487,3.9771779103170355e-06,0.9962346866209044,1.2478606872745944e-05,0.9999978645092397,3.4679236544487514e-05,0.9999999999977889,3.4818634117387093e-06,0.5719976100378411,0.4119914923014767,3.6907353134398545e-05
meta-llama/Llama-2-13b-hf,Llama-2,13.0,2.0,156.0,0.543378428,0.58105802,0.809699263,0.766377269,0.34172403,0.228203184,0.786798487,0.182926829,meta,202307.0,0.5491382994,bdsrc,,,,6.115695194968523e-14,7.656541239585803e-05,3.8006228732609026e-06,0.0004000594641152608,0.002120605517266022,2.0451389086605943e-05,0.0024487069012819646,5.149416468934956e-06,0.019001392238944606,2.5029627756382982e-05,0.13914207869041925,6.047848106331434e-06,0.6668317660284421,8.34825448687783e-06,0.9869865702713941,1.3124218040001483e-05,0.9999903658215453,3.412283216373283e-05,0.9999999999802619,9.250105661597181e-06,0.6034654451304521,0.3816779912974516,5.980635752719831e-05
meta-llama/Llama-2-70b-hf,Llama-2,70.0,2.0,840.0,0.698320892,0.673208191,0.873332006,0.837411208,0.449234937,0.540561031,0.824453228,0.298780488,meta,202307.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huggyllama/llama-7b,Llama,6.7,1.0,40.2,0.356933064,0.509385666,0.778131846,0.714285714,0.343279329,0.080363912,0.693204495,0.12804878,meta,202302.0,0.34952286,rllab,,,,2.694547110527282e-14,5.1564082921225126e-05,2.0599076106764663e-05,0.0001685049963071787,0.0019322975685604129,1.2860361816010846e-05,0.006881309170588043,6.087188504063861e-06,0.03529618572865682,8.527894113084613e-06,0.28798562487821594,3.463987741012059e-06,0.8537367597860344,4.337099451459361e-06,0.9965209908221407,1.9279134603584964e-05,0.9999963407970097,5.574001239467274e-05,0.9999999999968401,3.1921437432271648e-06,0.5656243776140211,0.4182568098427796,3.33502140250703e-05
huggyllama/llama-13b,Llama,13.0,1.0,78.0,0.476105883,0.561433447,0.809201354,0.762430939,0.394788826,0.075815011,0.730361681,0.158536585,meta,202302.0,,,,,,7.976738422208106e-14,5.553272860658765e-05,2.879799478040502e-06,0.00028375748709773805,0.0011620673076952674,2.5746876492689226e-05,0.0034693825326785176,6.945980205681713e-06,0.02556023552781425,1.0390298379698056e-05,0.154204867924679,4.921916518668866e-06,0.705109950785592,4.509881426453665e-06,0.9895688920868804,2.1553621142540707e-05,0.9999930466836008,2.0765051025503676e-05,0.9999999999940885,3.91980268113781e-06,0.5956980681139216,0.3879320024067591,4.379706515157007e-05
huggyllama/llama-30b,Llama,32.5,1.4,273.0,0.584466128,0.614334471,0.847341167,0.800315706,0.42273876,0.148597422,0.771147904,0.207317073,meta,202302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huggyllama/llama-65b,Llama,65.2,1.4,547.68,0.639306418,0.634812287,0.860884286,0.825572218,0.434287607,0.372251706,0.776834807,0.231707317,meta,202302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Meta-Llama-3-70B,Llama-3,70.0,15.0,6300.0,0.792329339,,0.87980482,0.853196527,0.455623682,0.768764215,0.844706094,0.524390244,meta,202404.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Meta-Llama-3-8B,Llama-3,8.0,15.0,720.0,0.664949549,,0.820155348,0.771112865,0.439522651,0.453373768,0.801151665,0.384146341,meta,202404.0,0.651687794,rllab,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen/Qwen1.5-72B,Qwen1.5,72.0,3.0,1296.0,0.772014583,0.658703072,0.859888468,0.830307814,0.596080564,0.657316149,0.825768095,0.451219512,alibaba,202402.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen/Qwen1.5-32B,Qwen1.5,32.0,4.0,768.0,0.742996128,0.635665529,0.850029875,0.814522494,0.573944434,0.611068992,0.791176059,0.420731707,alibaba,202402.0,,,,,,3.433326010452253e-13,8.5030420271165e-05,1.2580184554907503e-06,0.0003166785753412707,0.00391959382247906,6.130388101661885e-05,0.007564829876384314,1.0389421565461601e-05,0.023224611963365893,3.776300244673798e-05,0.10920843813544907,1.7711169728326124e-05,0.43016589895611346,1.1398657981702347e-05,0.8275750106354443,1.0004846236538833e-05,0.9796657831077055,2.4919761286000524e-05,0.9999869212896645,3.2864267602467014e-06,0.645488946425015,0.3381657843778001,5.784118270402407e-05
Qwen/Qwen1.5-14B,Qwen1.5,14.0,4.0,336.0,0.693602647,0.565699659,0.810794662,0.73480663,0.520609239,0.676269901,0.777502468,0.396341463,alibaba,202402.0,,,,,,9.556701328988018e-13,6.0259971625376056e-05,0.00012709238383246433,0.000392373259362509,0.00318288758186573,2.284939749292695e-05,0.010159907417601331,1.205760268506394e-05,0.03906533315394392,4.009330247962968e-05,0.17084579255958512,1.5469959350134435e-05,0.6214615640488225,8.062593043957116e-06,0.9485432205977208,1.382561453604531e-05,0.998375106569523,0.00011175819720881676,0.9999999983546315,1.8278409066750912e-06,0.6059549890460068,0.3792040441755281,6.784843365756658e-05
