Model,Model Family,Model Size (B),Pretraining Data Size (T),FLOPs (1E21),MMLU,ARC-C,HellaSwag,Winograd,TruthfulQA,GSM8K,XWinograd,HumanEval,Company,Release Date,MMLU-ours,platform,Unnamed: 17,Unnamed: 18,Unnamed: 19,0_3347_brier,0_3347_san,3347_6694_brier,3347_6694_san,6694_10042_brier,6694_10042_san,acc,brier,san
meta-llama/Llama-2-7b-hf,Llama-2,7.0,2.0,84.0,0.437960964,0.530716724,0.777434774,0.740331492,0.389802028,0.144806672,0.754881273,0.12804878,meta,202307.0,0.458624128,rllab,,,,0.0011978605876919416,8.889946703931925e-05,0.24088524018769708,5.924421451938071e-06,0.9937175709068763,1.590444605597179e-05,0.5719976100378411,0.4119914923014767,3.6907353134398545e-05
meta-llama/Llama-2-13b-hf,Llama-2,13.0,2.0,156.0,0.543378428,0.58105802,0.809699263,0.766377269,0.34172403,0.228203184,0.786798487,0.182926829,meta,202307.0,0.5491382994,bdsrc,,,,0.0009345590155861872,0.0001502869623774002,0.16059234981478435,1.033778295797958e-05,0.9833273072741188,1.8806576956574638e-05,0.6034654451304521,0.3816779912974516,5.980635752719831e-05
meta-llama/Llama-2-70b-hf,Llama-2,70.0,2.0,840.0,0.698320892,0.673208191,0.873332006,0.837411208,0.449234937,0.540561031,0.824453228,0.298780488,meta,202307.0,,,,,,,,,,,,,,
huggyllama/llama-7b,Llama,6.7,1.0,40.2,0.356933064,0.509385666,0.778131846,0.714285714,0.343279329,0.080363912,0.693204495,0.12804878,meta,202302.0,0.34952286,rllab,,,,0.001796920604828331,7.148142791001897e-05,0.2576698687035901,4.246005941000205e-06,0.9951312845358212,2.4325904462483995e-05,0.5656243776140211,0.4182568098427796,3.33502140250703e-05
huggyllama/llama-13b,Llama,13.0,1.0,78.0,0.476105883,0.561433447,0.809201354,0.762430939,0.394788826,0.075815011,0.730361681,0.158536585,meta,202302.0,,,,,,0.0007441157398951388,0.00011126132216171403,0.17749039452852416,5.63244102451775e-06,0.9853829935186045,1.4506183652254824e-05,0.5956980681139216,0.3879320024067591,4.379706515157007e-05
huggyllama/llama-30b,Llama,32.5,1.4,273.0,0.584466128,0.614334471,0.847341167,0.800315706,0.42273876,0.148597422,0.771147904,0.207317073,meta,202302.0,,,,,,,,,,,,,,
huggyllama/llama-65b,Llama,65.2,1.4,547.68,0.639306418,0.634812287,0.860884286,0.825572218,0.434287607,0.372251706,0.776834807,0.231707317,meta,202302.0,,,,,,,,,,,,,,
meta-llama/Meta-Llama-3-70B,Llama-3,70.0,15.0,6300.0,0.792329339,,0.87980482,0.853196527,0.455623682,0.768764215,0.844706094,0.524390244,meta,202404.0,,,,,,,,,,,,,,
meta-llama/Meta-Llama-3-8B,Llama-3,8.0,15.0,720.0,0.664949549,,0.820155348,0.771112865,0.439522651,0.453373768,0.801151665,0.384146341,meta,202404.0,0.651687794,rllab,,,,,,,,,,,,
Qwen/Qwen1.5-72B,Qwen1.5,72.0,3.0,1296.0,0.772014583,0.658703072,0.859888468,0.830307814,0.596080564,0.657316149,0.825768095,0.451219512,alibaba,202402.0,,,,,,,,,,,,,,
Qwen/Qwen1.5-32B,Qwen1.5,32.0,4.0,768.0,0.742996128,0.635665529,0.850029875,0.814522494,0.573944434,0.611068992,0.791176059,0.420731707,alibaba,202402.0,,,,,,0.0018030341666827935,0.00014119304533337094,0.1107914669495391,2.0010581397351198e-05,0.901734471769978,1.2333517934911838e-05,0.645488946425015,0.3381657843778001,5.784118270402407e-05
Qwen/Qwen1.5-14B,Qwen1.5,14.0,4.0,336.0,0.693602647,0.565699659,0.810794662,0.73480663,0.520609239,0.676269901,0.777502468,0.396341463,alibaba,202402.0,,,,,,0.0018134009076421376,0.000145828752290938,0.16998552772329953,1.8728518448343048e-05,0.9656379920797213,3.899665042560101e-05,0.6059549890460068,0.3792040441755281,6.784843365756658e-05
Qwen/Qwen1.5-7B,Qwen1.5,7.0,4.0,168.0,0.619700217,0.541808874,0.785102569,0.712707182,0.51082277,0.53525398,0.752361398,0.347560976,alibaba,202402.0,0.604828372,rllab,,,,0.0017887348136641145,8.993913885452515e-05,0.23439440398445646,1.2661198994751197e-05,0.9844103379110745,2.2451081658516323e-05,0.5781716789484167,0.4069220052662394,4.168189127407292e-05
Qwen/Qwen1.5-4B,Qwen1.5,4.0,2.4,57.6,0.565235196,0.484641638,0.715793667,0.662194159,0.472731898,0.522365428,0.688785439,0.262195122,alibaba,202402.0,0.5526278308,rllab,,,,0.0041789385978558274,4.796219209840406e-05,0.3772205037664273,3.4807690514712487e-06,0.9961719839275095,5.7874280663295334e-05,0.5241983668591914,0.45924394899248644,3.644121515926551e-05
Qwen/Qwen1.5-1.8B,Qwen1.5,1.8,2.4,25.92,0.467083853,0.37883959,0.614220275,0.602999211,0.394278142,0.3358605,0.643824663,0.182926829,alibaba,202402.0,0.4600484262,rllab,,,,0.008750142805045467,4.968100716195871e-05,0.5670176547369106,1.6321967928525747e-06,0.9989440984376607,4.153674318159179e-05,0.458972316271659,0.524951171075705,3.095103662703872e-05
Qwen/Qwen1.5-0.5B,Qwen1.5,0.5,2.4,7.2,0.393533408,0.314846416,0.490539733,0.572217837,0.382992684,0.163002274,0.575621493,0.115853659,alibaba,202402.0,0.3886198547,rllab,,,,0.026283824689662814,2.1549841415061425e-05,0.7793741670913162,1.3701196505213762e-06,0.998836815444864,1.6914218828481924e-05,0.3824935271858196,0.6015378367457009,1.327842205977522e-05
Qwen/Qwen-72B,Qwen,72.0,3.0,1296.0,0.773737575,0.651877133,0.85939056,0.824782952,0.601910952,0.704321456,0.828731413,0.37195122,alibaba,202311.0,,,,,,,,,,,,,,
Qwen/Qwen-14B,Qwen,14.0,3.0,252.0,0.677042803,0.582764505,0.839872535,0.767955801,0.494329446,0.589840788,0.791508524,0.353658537,alibaba,202309.0,,,,,,,,,,,,,,
Qwen/Qwen-7B,Qwen,7.0,2.4,100.8,0.598387921,0.513651877,0.784704242,0.72691397,0.477859305,0.449583017,0.734576728,0.317073171,alibaba,202308.0,0.5828941746,rllab,,,,0.0014701024192434282,7.97303918985355e-05,0.24632703649399168,1.3012822719579124e-05,0.9911527745640589,1.2134530094276589e-05,0.5716988647679745,0.41304087962388564,3.4956975311936636e-05
mistralai/Mistral-7B-v0.1,Mistral,7.3,,,0.641644838,0.599829352,0.833100976,0.786108919,0.421531711,0.370735406,0.781857102,0.274390244,mistral,202309.0,0.62590799,rllab,,,,0.0005041157324739529,0.00012402048084566707,0.13640794547432367,1.8366797469183317e-05,0.9740281333879921,1.8813284706820254e-05,0.6143198566022705,0.3703735171720914,5.3730043588750924e-05
mistralai/Mixtral-8x7B-v0.1,Mixtral,45.0,,,0.718783933,0.663822526,0.864568811,0.816890292,0.46805433,0.576194086,0.800190967,0.335365854,mistral,202312.0,,,,,,,,,,,,,,
