Model,Model Family,Model Size (B),Pretraining Data Size (T),FLOPs (1E21),MMLU,ARC-C,HellaSwag,Winograd,TruthfulQA,GSM8K,XWinograd,HumanEval,Company,Release Date,MMLU-ours,platform,Unnamed: 17,Unnamed: 18,Unnamed: 19,0_17_brier,0_17_san,17_35_brier,17_35_san,35_52_brier,35_52_san,52_70_brier,52_70_san,70_87_brier,70_87_san,87_105_brier,87_105_san,105_122_brier,105_122_san,122_140_brier,122_140_san,140_157_brier,140_157_san,157_175_brier,157_175_san,acc,brier,san
meta-llama/Llama-2-7b-hf,Llama-2,7.0,2.0,84.0,0.437960964,0.530716724,0.777434774,0.740331492,0.389802028,0.144806672,0.754881273,0.12804878,meta,202307.0,0.458624128,rllab,,,,0.13349684335571033,0.9602359444605431,0.2756883440520249,0.9684603722356402,0.21615513253874236,0.9303748418486825,0.15559626486534203,0.9253602905124685,0.17771771039980017,0.9634026531228211,0.2715570436105801,0.9571679677622554,0.2460347892074152,0.9566258705166445,0.1991151761983786,0.9394526393758521,0.4447499124741307,0.9666399213832993,0.3979719465835711,0.948975143463112,0.7028571428571428,0.2520419574352383,0.9515613849881815
meta-llama/Llama-2-13b-hf,Llama-2,13.0,2.0,156.0,0.543378428,0.58105802,0.809699263,0.766377269,0.34172403,0.228203184,0.786798487,0.182926829,meta,202307.0,0.5491382994,bdsrc,,,,0.09399575459088064,0.9814035084564852,0.2426531747220695,0.9789239654121703,0.1478505571703362,0.9747100404148688,0.12603808073122091,0.9444361267251283,0.04227458374612295,0.9760197534486547,0.19647048722797955,0.9847245695061257,0.06351629947448549,0.9589352877338366,0.1000416015773879,0.9516085447414014,0.33516139377986487,1.0133482944970558,0.3464192249189747,0.9357732657814348,0.8057142857142857,0.17038161288083495,0.969677048779189
meta-llama/Llama-2-70b-hf,Llama-2,70.0,2.0,840.0,0.698320892,0.673208191,0.873332006,0.837411208,0.449234937,0.540561031,0.824453228,0.298780488,meta,202307.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huggyllama/llama-7b,Llama,6.7,1.0,40.2,0.356933064,0.509385666,0.778131846,0.714285714,0.343279329,0.080363912,0.693204495,0.12804878,meta,202302.0,0.34952286,rllab,,,,0.21896339396218564,0.9619411479798243,0.439289306114212,0.9661618591708714,0.24549193625930552,0.9561637788144097,0.30741873283195276,0.9547402196634113,0.2639840270669297,0.9672628319009843,0.3679747445661286,0.9642155453772452,0.33619223886631083,0.9721945879256547,0.4030565356910065,0.9461607199230949,0.508846338613342,0.9695316690721739,0.5461438880038985,0.9465886888749895,0.5942857142857143,0.36513727211878183,0.960355456348313
huggyllama/llama-13b,Llama,13.0,1.0,78.0,0.476105883,0.561433447,0.809201354,0.762430939,0.394788826,0.075815011,0.730361681,0.158536585,meta,202302.0,,,,,,0.23973375106793635,0.9561665386311522,0.37449821226398755,0.9718548952255363,0.08178198422736711,0.9594420794524697,0.11976597820840255,0.9553353874116982,0.1499100078866991,0.957992351789339,0.20953612561622156,0.973095567438553,0.13162305575737024,0.9424383376960087,0.208383073989838,0.9571570407326531,0.44135877226861836,0.9691212470017481,0.5041613570547004,0.9453698021303949,0.7257142857142858,0.24713790947961461,0.9588477594320073
huggyllama/llama-30b,Llama,32.5,1.4,273.0,0.584466128,0.614334471,0.847341167,0.800315706,0.42273876,0.148597422,0.771147904,0.207317073,meta,202302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huggyllama/llama-65b,Llama,65.2,1.4,547.68,0.639306418,0.634812287,0.860884286,0.825572218,0.434287607,0.372251706,0.776834807,0.231707317,meta,202302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Meta-Llama-3-70B,Llama-3,70.0,15.0,6300.0,0.792329339,,0.87980482,0.853196527,0.455623682,0.768764215,0.844706094,0.524390244,meta,202404.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Meta-Llama-3-8B,Llama-3,8.0,15.0,720.0,0.664949549,,0.820155348,0.771112865,0.439522651,0.453373768,0.801151665,0.384146341,meta,202404.0,0.651687794,rllab,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen/Qwen1.5-72B,Qwen1.5,72.0,3.0,1296.0,0.772014583,0.658703072,0.859888468,0.830307814,0.596080564,0.657316149,0.825768095,0.451219512,alibaba,202402.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
