Model,Model Family,Model Size (B),Pretraining Data Size (T),FLOPs (1E21),MMLU,ARC-C,HellaSwag,Winograd,TruthfulQA,GSM8K,XWinograd,HumanEval,Company,Release Date,MMLU-ours,platform,Unnamed: 17,Unnamed: 18,Unnamed: 19,0_1404_acc,0_1404_san,1404_2808_acc,1404_2808_san,2808_4212_acc,2808_4212_san,4212_5616_acc,4212_5616_san,5616_7021_acc,5616_7021_san,7021_8425_acc,7021_8425_san,8425_9829_acc,8425_9829_san,9829_11233_acc,9829_11233_san,11233_12637_acc,11233_12637_san,12637_14042_acc,12637_14042_san,brier,san
meta-llama/Llama-2-7b-hf,Llama-2,7.0,2.0,84.0,0.437960964,0.530716724,0.777434774,0.740331492,0.389802028,0.144806672,0.754881273,0.12804878,meta,202307.0,0.458624128,rllab,,,,0.17307692307692307,0.995037544366091,0.3782051282051282,0.9943994028395576,0.44871794871794873,0.9946760793544317,0.46438746438746437,0.9940089863570157,0.4875444839857651,0.9949659842994626,0.49928774928774927,0.9947995517560998,0.5434472934472935,0.9948513381044737,0.5569800569800569,0.9952176034389121,0.5206552706552706,0.995288635800627,0.5138790035587188,0.9948558633486528,0.4491171010947219,233.97137159948724
meta-llama/Llama-2-13b-hf,Llama-2,13.0,2.0,156.0,0.543378428,0.58105802,0.809699263,0.766377269,0.34172403,0.228203184,0.786798487,0.182926829,meta,202307.0,0.5491382994,bdsrc,,,,0.34116809116809116,0.9892680117391561,0.49715099715099714,0.9881033846862587,0.5626780626780626,0.988569614293458,0.5776353276353277,0.9894038781678283,0.5893238434163701,0.9896239988365835,0.6111111111111112,0.9901481272375003,0.6082621082621082,0.9907482676958786,0.6089743589743589,0.9900690880401063,0.5662393162393162,0.9898561445896511,0.5288256227758007,0.9895759271810018,0.37767793780541403,233.97137159948724
meta-llama/Llama-2-70b-hf,Llama-2,70.0,2.0,840.0,0.698320892,0.673208191,0.873332006,0.837411208,0.449234937,0.540561031,0.824453228,0.298780488,meta,202307.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
huggyllama/llama-7b,Llama,6.7,1.0,40.2,0.356933064,0.509385666,0.778131846,0.714285714,0.343279329,0.080363912,0.693204495,0.12804878,meta,202302.0,0.34952286,rllab,,,,0.10113960113960115,0.987761269638011,0.20797720797720798,0.9881327835527003,0.24358974358974358,0.9882423757110382,0.24287749287749288,0.9890180630154558,0.2939501779359431,0.9885243137761806,0.3575498575498576,0.9897798171883015,0.42663817663817666,0.9900012400676476,0.46794871794871795,0.9891279079932593,0.5277777777777778,0.9900149783840788,0.6256227758007118,0.9885168454478188,0.5352959798285735,233.97137159948724
huggyllama/llama-13b,Llama,13.0,1.0,78.0,0.476105883,0.561433447,0.809201354,0.762430939,0.394788826,0.075815011,0.730361681,0.158536585,meta,202302.0,,,,,,0.23575498575498577,0.9901419031680616,0.4024216524216524,0.9890469534405454,0.4551282051282051,0.9903843670365137,0.4594017094017094,0.990128997886226,0.49608540925266903,0.9899247280626118,0.5192307692307693,0.989256458272146,0.5505698005698005,0.9891872604693895,0.5299145299145299,0.9893658394900523,0.5220797720797721,0.9909640665375112,0.5174377224199288,0.9893251183846167,0.4413328471663793,233.97137159948724
huggyllama/llama-30b,Llama,32.5,1.4,273.0,0.584466128,0.614334471,0.847341167,0.800315706,0.42273876,0.148597422,0.771147904,0.207317073,meta,202302.0,,,,,,0.32905982905982906,0.991679677054704,0.5014245014245015,0.9915515143789101,0.5804843304843305,0.9907400741109176,0.5705128205128205,0.9913310504376824,0.6199288256227758,0.9928134947530213,0.6517094017094017,0.9921495535845322,0.6452991452991453,0.992540413241029,0.6595441595441596,0.9915963709137097,0.6403133903133903,0.9926188250919242,0.6220640569395017,0.991656526336034,0.35945683337726086,233.97137159948724
huggyllama/llama-65b,Llama,65.2,1.4,547.68,0.639306418,0.634812287,0.860884286,0.825572218,0.434287607,0.372251706,0.776834807,0.231707317,meta,202302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Meta-Llama-3-70B,Llama-3,70.0,15.0,6300.0,0.792329339,,0.87980482,0.853196527,0.455623682,0.768764215,0.844706094,0.524390244,meta,202404.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Meta-Llama-3-8B,Llama-3,8.0,15.0,720.0,0.664949549,,0.820155348,0.771112865,0.439522651,0.453373768,0.801151665,0.384146341,meta,202404.0,0.651687794,rllab,,,,0.5007122507122507,0.9970076351909704,0.6153846153846154,0.9981856642129866,0.6445868945868946,0.9983808199550662,0.6445868945868946,0.9980741920013793,0.6619217081850534,0.9981041975188992,0.7001424501424501,0.9983735454806136,0.7086894586894587,0.9981036458585124,0.7086894586894587,0.9985973745682047,0.6673789173789174,0.9983715327342977,0.6676156583629893,0.997754436193461,0.2963220039781926,233.97137159948724
Qwen/Qwen1.5-72B,Qwen1.5,72.0,3.0,1296.0,0.772014583,0.658703072,0.859888468,0.830307814,0.596080564,0.657316149,0.825768095,0.451219512,alibaba,202402.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen/Qwen1.5-32B,Qwen1.5,32.0,4.0,768.0,0.742996128,0.635665529,0.850029875,0.814522494,0.573944434,0.611068992,0.791176059,0.420731707,alibaba,202402.0,,,,,,0.5655270655270656,0.995293435756777,0.7086894586894587,0.9964408943568122,0.7663817663817664,0.9968710783405675,0.7585470085470085,0.996901371428382,0.7637010676156584,0.9971570770417173,0.7792022792022792,0.9970767242399262,0.792022792022792,0.9968898249554985,0.7742165242165242,0.9968907723875254,0.7336182336182336,0.9960641886604097,0.701067615658363,0.9961926622262183,0.2181571743213346,233.97137159948724
Qwen/Qwen1.5-14B,Qwen1.5,14.0,4.0,336.0,0.693602647,0.565699659,0.810794662,0.73480663,0.520609239,0.676269901,0.777502468,0.396341463,alibaba,202402.0,,,,,,0.46153846153846156,0.9966867500946309,0.6445868945868946,0.9974724763461301,0.7029914529914529,0.997882212444323,0.7015669515669516,0.997790271386369,0.7117437722419929,0.9978036843364086,0.7321937321937322,0.9979225896036327,0.7200854700854701,0.9981501346072383,0.7264957264957265,0.9978518304389563,0.6958689458689459,0.9979242534620894,0.698220640569395,0.9969327564057319,0.2687604467761798,233.97137159948724
