Model,Model Family,Model Size (B),Pretraining Data Size (T),FLOPs (1E21),MMLU,ARC-C,HellaSwag,Winograd,TruthfulQA,GSM8K,XWinograd,HumanEval,Company,Release Date,MMLU-ours,platform,Unnamed: 17,Unnamed: 18,Unnamed: 19,0_1404_brier,0_1404_san,1404_2808_brier,1404_2808_san,2808_4212_brier,2808_4212_san,4212_5616_brier,4212_5616_san,5616_7021_brier,5616_7021_san,7021_8425_brier,7021_8425_san,8425_9829_brier,8425_9829_san,9829_11233_brier,9829_11233_san,11233_12637_brier,11233_12637_san,12637_14042_brier,12637_14042_san,acc,brier,san
meta-llama/Llama-2-7b-hf,Llama-2,7.0,2.0,84.0,0.437960964,0.530716724,0.777434774,0.740331492,0.389802028,0.144806672,0.754881273,0.12804878,meta,202307.0,0.458624128,rllab,,,,0.38275512386972266,0.9949693434503033,0.4156129561745901,0.9953753975131265,0.4201870150516945,0.995560051669066,0.4111841247718635,0.9953306029602613,0.4105715341555497,0.9946022827492261,0.42228311328323054,0.9932097359406933,0.4416087304289816,0.9948317725791107,0.469695305743048,0.9943772084375085,0.5293783085423887,0.9944248666940776,0.5878234593311766,0.9954195852073419,0.45862412761714855,0.4491171010947219,0.9948101133270075
meta-llama/Llama-2-13b-hf,Llama-2,13.0,2.0,156.0,0.543378428,0.58105802,0.809699263,0.766377269,0.34172403,0.228203184,0.786798487,0.182926829,meta,202307.0,0.5491382994,bdsrc,,,,0.3275875024079065,0.9905642459506487,0.3622243655152425,0.9891823385443392,0.353584567439734,0.9904849751723085,0.33793745439665646,0.9906775211308003,0.33112364370479896,0.9890469740505835,0.3353922663334339,0.9898289447973796,0.3560866191933662,0.9902823357168551,0.39822207971339574,0.9878380548263186,0.4511742850556075,0.9879262077830331,0.5233759790894332,0.9895352844293019,0.5491382993875517,0.37767793780541403,0.9895366532652211
meta-llama/Llama-2-70b-hf,Llama-2,70.0,2.0,840.0,0.698320892,0.673208191,0.873332006,0.837411208,0.449234937,0.540561031,0.824453228,0.298780488,meta,202307.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huggyllama/llama-7b,Llama,6.7,1.0,40.2,0.356933064,0.509385666,0.778131846,0.714285714,0.343279329,0.080363912,0.693204495,0.12804878,meta,202302.0,0.34952286,rllab,,,,0.4975904510228431,0.9893011215148544,0.5101066409410346,0.9899436257863533,0.5115015739252144,0.9901974277021066,0.5150554460032105,0.9896838196335026,0.5219151980537763,0.9889887926028808,0.5242134393898008,0.988521443963558,0.537212245607832,0.9889793692901496,0.5490034770487647,0.9875660985855603,0.5737994244665009,0.986298741671062,0.6125164319760684,0.9896380246384143,0.3495228599914542,0.5352959798285735,0.9889119037332688
huggyllama/llama-13b,Llama,13.0,1.0,78.0,0.476105883,0.561433447,0.809201354,0.762430939,0.394788826,0.075815011,0.730361681,0.158536585,meta,202302.0,,,,,,0.37648566329293365,0.9888597293935669,0.4097512589236872,0.9904431021523925,0.4056091531403812,0.9914344582929927,0.4126079653847124,0.9905677283798106,0.40267418065684846,0.9892747791354418,0.41236922878642657,0.9890599632556146,0.4470006031059959,0.9902192133550104,0.4737415418560624,0.9895085978583579,0.5249316624342978,0.9883976641704264,0.5481086975696916,0.9899604671530372,0.468807862127902,0.4413328471663793,0.989772548245564
huggyllama/llama-30b,Llama,32.5,1.4,273.0,0.584466128,0.614334471,0.847341167,0.800315706,0.42273876,0.148597422,0.771147904,0.207317073,meta,202302.0,,,,,,0.29338881072952483,0.9912275328052819,0.317879897239615,0.9930495754997419,0.31898463362329793,0.9932569662902065,0.30761577693191594,0.9925006975408527,0.2985783813469073,0.992127526901101,0.30435653553078773,0.9909928324755107,0.34630226590596674,0.9920524214401724,0.40570748947088625,0.9901357993187226,0.46113709042427414,0.9916446581396425,0.5405318424860535,0.9916899542632535,0.5820395954992167,0.35945683337726086,0.9918678022991149
huggyllama/llama-65b,Llama,65.2,1.4,547.68,0.639306418,0.634812287,0.860884286,0.825572218,0.434287607,0.372251706,0.776834807,0.231707317,meta,202302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Meta-Llama-3-70B,Llama-3,70.0,15.0,6300.0,0.792329339,,0.87980482,0.853196527,0.455623682,0.768764215,0.844706094,0.524390244,meta,202404.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Meta-Llama-3-8B,Llama-3,8.0,15.0,720.0,0.664949549,,0.820155348,0.771112865,0.439522651,0.453373768,0.801151665,0.384146341,meta,202404.0,0.651687794,rllab,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen/Qwen1.5-72B,Qwen1.5,72.0,3.0,1296.0,0.772014583,0.658703072,0.859888468,0.830307814,0.596080564,0.657316149,0.825768095,0.451219512,alibaba,202402.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
