Model,Model Family,Model Size (B),Pretraining Data Size (T),FLOPs (1E21),MMLU,ARC-C,HellaSwag,Winograd,TruthfulQA,GSM8K,XWinograd,HumanEval,Company,Release Date,MMLU-ours,platform,Unnamed: 17,Unnamed: 18,Unnamed: 19,0_1404_brier,0_1404_san,1404_2808_brier,1404_2808_san,2808_4212_brier,2808_4212_san,4212_5616_brier,4212_5616_san,5616_7021_brier,5616_7021_san,7021_8425_brier,7021_8425_san,8425_9829_brier,8425_9829_san,9829_11233_brier,9829_11233_san,11233_12637_brier,11233_12637_san,12637_14042_brier,12637_14042_san,acc,brier,san
meta-llama/Llama-2-7b-hf,Llama-2,7.0,2.0,84.0,0.437960964,0.530716724,0.777434774,0.740331492,0.389802028,0.144806672,0.754881273,0.12804878,meta,202307.0,0.458624128,rllab,,,,0.379799022661705,0.9960621380351713,0.42238020437469537,0.9948114173983537,0.4092680762248258,0.9959181912407017,0.41592716770785143,0.9955703283291845,0.39805401553149705,0.9946973618651608,0.42669454522590133,0.9938545523524539,0.4447125629593588,0.9945777919815925,0.48282339915781414,0.9937935862649792,0.5421948200149197,0.9939324518247574,0.5888095673512834,0.9948833421277101,0.45862412761714855,0.45107237222628604,0.9948101133270075
meta-llama/Llama-2-13b-hf,Llama-2,13.0,2.0,156.0,0.543378428,0.58105802,0.809699263,0.766377269,0.34172403,0.228203184,0.786798487,0.182926829,meta,202307.0,0.5491382994,bdsrc,,,,0.3301900335222117,0.9912634926155854,0.3743859011813506,0.9890138082023966,0.33947277516764773,0.9906513518085512,0.34878117773354655,0.991031127139539,0.3212412067386365,0.9896271157491238,0.3295923463044083,0.9899953412810044,0.36175398738935605,0.9900393138266989,0.4071055984193094,0.9875819118663441,0.47052248122178514,0.9870625574078353,0.5308698187936448,0.9891007587893457,0.5491382993875517,0.3813978941313258,0.9895366532652211
meta-llama/Llama-2-70b-hf,Llama-2,70.0,2.0,840.0,0.698320892,0.673208191,0.873332006,0.837411208,0.449234937,0.540561031,0.824453228,0.298780488,meta,202307.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huggyllama/llama-7b,Llama,6.7,1.0,40.2,0.356933064,0.509385666,0.778131846,0.714285714,0.343279329,0.080363912,0.693204495,0.12804878,meta,202302.0,0.34952286,rllab,,,,0.4984272110272357,0.9911335166671281,0.5060368010106435,0.9889969848498686,0.5129717112520158,0.9911975196221422,0.5215486267577352,0.9902205428390213,0.5253686487993183,0.9903169489428517,0.5313438326155172,0.9895221815995856,0.5428786715332098,0.987457476120818,0.5595207925225395,0.9871349485672082,0.5810622115894977,0.9848734932814861,0.6164694460473715,0.9882648849377629,0.3495228599914542,0.5395672613818964,0.9889119037332688
huggyllama/llama-13b,Llama,13.0,1.0,78.0,0.476105883,0.561433447,0.809201354,0.762430939,0.394788826,0.075815011,0.730361681,0.158536585,meta,202302.0,,,,,,0.37826866374525137,0.9899705346416896,0.42180709219325935,0.9909560914755091,0.39415875414334883,0.9914261184933084,0.41613640458560086,0.9908546727797837,0.3942042937936369,0.9899326804854847,0.4137529798097868,0.9894171481367471,0.45433167576667194,0.9896623294129071,0.4863349756372332,0.9887574971972097,0.5400905488483421,0.9878007681160749,0.5530117479906702,0.9889481148658666,0.468807862127902,0.4452137584181142,0.989772548245564
huggyllama/llama-30b,Llama,32.5,1.4,273.0,0.584466128,0.614334471,0.847341167,0.800315706,0.42273876,0.148597422,0.771147904,0.207317073,meta,202302.0,,,,,,0.294431564644665,0.9929941779148059,0.3312400989007218,0.9918757481568082,0.2991783425321694,0.9933254060804507,0.31428622635966635,0.9930907117651757,0.2859933114003655,0.9925818016426788,0.30341314519460144,0.9917805194779067,0.35396595718531987,0.9911216248832394,0.4171469705887098,0.9899323867465444,0.47708488359637113,0.9908136560463136,0.5473373123404265,0.9911619844499334,0.5820395954992167,0.3624155091664248,0.9918678022991149
huggyllama/llama-65b,Llama,65.2,1.4,547.68,0.639306418,0.634812287,0.860884286,0.825572218,0.434287607,0.372251706,0.776834807,0.231707317,meta,202302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Meta-Llama-3-70B,Llama-3,70.0,15.0,6300.0,0.792329339,,0.87980482,0.853196527,0.455623682,0.768764215,0.844706094,0.524390244,meta,202404.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Meta-Llama-3-8B,Llama-3,8.0,15.0,720.0,0.664949549,,0.820155348,0.771112865,0.439522651,0.453373768,0.801151665,0.384146341,meta,202404.0,0.651687794,rllab,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen/Qwen1.5-72B,Qwen1.5,72.0,3.0,1296.0,0.772014583,0.658703072,0.859888468,0.830307814,0.596080564,0.657316149,0.825768095,0.451219512,alibaba,202402.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen/Qwen1.5-32B,Qwen1.5,32.0,4.0,768.0,0.742996128,0.635665529,0.850029875,0.814522494,0.573944434,0.611068992,0.791176059,0.420731707,alibaba,202402.0,,,,,,0.15073614384351383,0.9963491664233162,0.23750567581112172,0.9967787349795911,0.18373912215142632,0.9968263482918603,0.17202380951729135,0.9970757376188163,0.1598427071054792,0.9969234159698437,0.17991691994418985,0.9970303808875226,0.20511806578747824,0.9967320380210589,0.2591900428032124,0.996793575802747,0.2843983189894227,0.996020412996523,0.3587539333888681,0.9952490569113823,0.734297108673978,0.2191281961740983,0.9965778167645789
Qwen/Qwen1.5-14B,Qwen1.5,14.0,4.0,336.0,0.693602647,0.565699659,0.810794662,0.73480663,0.520609239,0.676269901,0.777502468,0.396341463,alibaba,202402.0,,,,,,0.1938416362356682,0.9972347168515484,0.25773885233229327,0.99794450039223,0.22154133050154945,0.9981761071232744,0.22803016087109715,0.998089654400225,0.20506247012952747,0.9979940778680235,0.23218158717315077,0.99771136634911,0.2492580733354899,0.9979806420730485,0.3118405796146149,0.9976767193788934,0.3547305401199214,0.9968065242637351,0.4406232330108244,0.9968026075161297,0.679532830081185,0.2694924461052721,0.9976416569614752
Qwen/Qwen1.5-7B,Qwen1.5,7.0,4.0,168.0,0.619700217,0.541808874,0.785102569,0.712707182,0.51082277,0.53525398,0.752361398,0.347560976,alibaba,202402.0,0.604828372,rllab,,,,0.26226493910442844,0.9974258735521883,0.3357265584701083,0.9979192887533959,0.2828877172290073,0.9981583759081338,0.2739058468168805,0.9979551451222347,0.2535598590861258,0.9977165908080413,0.2768602395625884,0.9976721610646117,0.30540954744341053,0.9978178625754874,0.3789698514456166,0.9976652123895263,0.4099328600746066,0.9970900538851286,0.473801616808532,0.9970515897651722,0.6048283720267769,0.32533736562298166,0.9976471779055188
