Model,Model Family,Model Size (B),Pretraining Data Size (T),FLOPs (1E21),MMLU,ARC-C,HellaSwag,Winograd,TruthfulQA,GSM8K,XWinograd,HumanEval,Company,Release Date,MMLU-ours,platform,Unnamed: 17,Unnamed: 18,Unnamed: 19,0_105_acc,0_105_san,105_210_acc,105_210_san,210_315_acc,210_315_san,315_420_acc,315_420_san,420_525_acc,420_525_san,525_630_acc,525_630_san,630_735_acc,630_735_san,735_840_acc,735_840_san,840_945_acc,840_945_san,945_1050_acc,945_1050_san,brier,san
meta-llama/Llama-2-7b-hf,Llama-2,7.0,2.0,84.0,0.437960964,0.530716724,0.777434774,0.740331492,0.389802028,0.144806672,0.754881273,0.12804878,meta,202307.0,0.458624128,rllab,,,,0.01904761904761905,0.7869788200394876,0.0761904761904762,0.7639372249453626,0.1619047619047619,0.735369780165353,0.24761904761904763,0.7401191790756174,0.3047619047619048,0.7117542654399526,0.2857142857142857,0.6989267952982097,0.2857142857142857,0.7163808633920118,0.29523809523809524,0.7092722289915188,0.34285714285714286,0.7132711759612731,0.5047619047619047,0.7286751556688869,0.5807953257656481,0.7304685488977662
meta-llama/Llama-2-13b-hf,Llama-2,13.0,2.0,156.0,0.543378428,0.58105802,0.809699263,0.766377269,0.34172403,0.228203184,0.786798487,0.182926829,meta,202307.0,0.5491382994,bdsrc,,,,0.047619047619047616,0.8344532714865088,0.1523809523809524,0.7940974934169028,0.14285714285714285,0.7672175998529139,0.2,0.7840566050547376,0.2,0.7523526930675112,0.3619047619047619,0.7402979231917289,0.26666666666666666,0.7384711160187053,0.3333333333333333,0.7268217537842552,0.41904761904761906,0.7320783580501173,0.5523809523809524,0.7502152945598035,0.5677969793450539,0.7620062108483187
meta-llama/Llama-2-70b-hf,Llama-2,70.0,2.0,840.0,0.698320892,0.673208191,0.873332006,0.837411208,0.449234937,0.540561031,0.824453228,0.298780488,meta,202307.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
huggyllama/llama-7b,Llama,6.7,1.0,40.2,0.356933064,0.509385666,0.778131846,0.714285714,0.343279329,0.080363912,0.693204495,0.12804878,meta,202302.0,0.34952286,rllab,,,,0.0,0.7510029573822252,0.09523809523809523,0.7223140175759117,0.047619047619047616,0.6980746959455473,0.12380952380952381,0.6827153414420036,0.20952380952380953,0.6807613506827133,0.14285714285714285,0.6539538909743082,0.26666666666666666,0.6554974335390414,0.3904761904761905,0.6524669145617878,0.5142857142857142,0.6652232427492929,0.8,0.6861665488738672,0.6005085620028916,0.6848176393726702
huggyllama/llama-13b,Llama,13.0,1.0,78.0,0.476105883,0.561433447,0.809201354,0.762430939,0.394788826,0.075815011,0.730361681,0.158536585,meta,202302.0,,,,,,0.02857142857142857,0.8505921056956419,0.10476190476190476,0.8104683596287722,0.1523809523809524,0.8085407244525766,0.17142857142857143,0.7992892165018888,0.21904761904761905,0.7866191832716006,0.23809523809523808,0.7629583985357105,0.3904761904761905,0.7559052368607312,0.4,0.7415809642165473,0.37142857142857144,0.7686142228331713,0.6,0.7946791981035053,0.5767971393465786,0.7879247610100153
huggyllama/llama-30b,Llama,32.5,1.4,273.0,0.584466128,0.614334471,0.847341167,0.800315706,0.42273876,0.148597422,0.771147904,0.207317073,meta,202302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
huggyllama/llama-65b,Llama,65.2,1.4,547.68,0.639306418,0.634812287,0.860884286,0.825572218,0.434287607,0.372251706,0.776834807,0.231707317,meta,202302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Meta-Llama-3-70B,Llama-3,70.0,15.0,6300.0,0.792329339,,0.87980482,0.853196527,0.455623682,0.768764215,0.844706094,0.524390244,meta,202404.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Meta-Llama-3-8B,Llama-3,8.0,15.0,720.0,0.664949549,,0.820155348,0.771112865,0.439522651,0.453373768,0.801151665,0.384146341,meta,202404.0,0.651687794,rllab,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen/Qwen1.5-72B,Qwen1.5,72.0,3.0,1296.0,0.772014583,0.658703072,0.859888468,0.830307814,0.596080564,0.657316149,0.825768095,0.451219512,alibaba,202402.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
