Model,Model Family,Model Size (B),Pretraining Data Size (T),FLOPs (1E21),MMLU,ARC-C,HellaSwag,Winograd,TruthfulQA,GSM8K,XWinograd,HumanEval,Company,Release Date,MMLU-ours,platform,Unnamed: 17,Unnamed: 18,Unnamed: 19,0_105_brier,0_105_san,105_210_brier,105_210_san,210_315_brier,210_315_san,315_420_brier,315_420_san,420_525_brier,420_525_san,525_630_brier,525_630_san,630_735_brier,630_735_san,735_840_brier,735_840_san,840_945_brier,840_945_san,945_1050_brier,945_1050_san,acc,brier,san
meta-llama/Llama-2-7b-hf,Llama-2,7.0,2.0,84.0,0.437960964,0.530716724,0.777434774,0.740331492,0.389802028,0.144806672,0.754881273,0.12804878,meta,202307.0,0.458624128,rllab,,,,0.43210590819805333,0.7255374854382511,0.513961720751335,0.7482568608535944,0.5512539716973154,0.7331217055233316,0.5400723170450142,0.7398482416547495,0.551306097842317,0.717181740084834,0.6053467748620939,0.7384780519215894,0.5961597660327052,0.7420005482352668,0.6246106103158557,0.7784403921801638,0.6438334942706821,0.7350636713290134,0.7493025966411143,0.6467567917568792,0.2523809523809524,0.5807953257656481,0.7304685488977662
meta-llama/Llama-2-13b-hf,Llama-2,13.0,2.0,156.0,0.543378428,0.58105802,0.809699263,0.766377269,0.34172403,0.228203184,0.786798487,0.182926829,meta,202307.0,0.5491382994,bdsrc,,,,0.42363096837468356,0.7517691280407878,0.47493298270588485,0.7701488057686064,0.5129677556700069,0.743736083807276,0.5476209015358323,0.7671206288586032,0.5368217318423243,0.7369157828797651,0.6142188751646558,0.7808752998166224,0.5546882354553454,0.771683662782238,0.6423581690236662,0.8119429077926833,0.6519060471555539,0.7670431334927429,0.7188241265225851,0.7188266752438591,0.26761904761904765,0.5677969793450539,0.7620062108483187
meta-llama/Llama-2-70b-hf,Llama-2,70.0,2.0,840.0,0.698320892,0.673208191,0.873332006,0.837411208,0.449234937,0.540561031,0.824453228,0.298780488,meta,202307.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huggyllama/llama-7b,Llama,6.7,1.0,40.2,0.356933064,0.509385666,0.778131846,0.714285714,0.343279329,0.080363912,0.693204495,0.12804878,meta,202302.0,0.34952286,rllab,,,,0.24567719258497994,0.6936937385901838,0.4435388325725729,0.7149394878206401,0.48697798406929366,0.6561260910182509,0.5939375066340135,0.6998888954186544,0.6175318005793691,0.6661750764046768,0.6592330000248491,0.7011604444680816,0.6889881975090321,0.6751776776777018,0.6819740301584709,0.7461080743553264,0.7304834919908842,0.6957806239177524,0.8567435839054488,0.5991262840554308,0.259047619047619,0.6005085620028916,0.6848176393726702
huggyllama/llama-13b,Llama,13.0,1.0,78.0,0.476105883,0.561433447,0.809201354,0.762430939,0.394788826,0.075815011,0.730361681,0.158536585,meta,202302.0,,,,,,0.40458479072491205,0.7977091547603724,0.5162384484723739,0.8131386516614458,0.4964800467597936,0.7585340118801732,0.5583080297543633,0.8076839861015489,0.5257525406351484,0.7627644516842013,0.6296214850138859,0.8009204226785777,0.6090332637837361,0.8034844173817485,0.5965816430916071,0.8395742116425948,0.6517450047504514,0.7823120101271774,0.779626140479516,0.7131262921823056,0.26761904761904765,0.5767971393465786,0.7879247610100153
huggyllama/llama-30b,Llama,32.5,1.4,273.0,0.584466128,0.614334471,0.847341167,0.800315706,0.42273876,0.148597422,0.771147904,0.207317073,meta,202302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huggyllama/llama-65b,Llama,65.2,1.4,547.68,0.639306418,0.634812287,0.860884286,0.825572218,0.434287607,0.372251706,0.776834807,0.231707317,meta,202302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Meta-Llama-3-70B,Llama-3,70.0,15.0,6300.0,0.792329339,,0.87980482,0.853196527,0.455623682,0.768764215,0.844706094,0.524390244,meta,202404.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Meta-Llama-3-8B,Llama-3,8.0,15.0,720.0,0.664949549,,0.820155348,0.771112865,0.439522651,0.453373768,0.801151665,0.384146341,meta,202404.0,0.651687794,rllab,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen/Qwen1.5-72B,Qwen1.5,72.0,3.0,1296.0,0.772014583,0.658703072,0.859888468,0.830307814,0.596080564,0.657316149,0.825768095,0.451219512,alibaba,202402.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen/Qwen1.5-32B,Qwen1.5,32.0,4.0,768.0,0.742996128,0.635665529,0.850029875,0.814522494,0.573944434,0.611068992,0.791176059,0.420731707,alibaba,202402.0,,,,,,0.3506474085551526,0.8456030227742038,0.4253777898570462,0.8037525958953011,0.3841013265416752,0.7834172731003136,0.4777844995579631,0.8358473823435157,0.49345119688581923,0.805318440161139,0.5058931791979948,0.8385889894675537,0.5242540365429659,0.8105922962041489,0.5579683982687894,0.7972710910418618,0.5111971929993604,0.8120826434100079,0.5760419939527672,0.7429527193135417,0.4142857142857143,0.48067170223595285,0.80754264537116
Qwen/Qwen1.5-14B,Qwen1.5,14.0,4.0,336.0,0.693602647,0.565699659,0.810794662,0.73480663,0.520609239,0.676269901,0.777502468,0.396341463,alibaba,202402.0,,,,,,0.3772621117248157,0.7902964193189244,0.5039235390243777,0.7665682801691519,0.4594240841135238,0.7458395243550396,0.5079708816854235,0.7887767412969091,0.5205383001837143,0.779628177508892,0.5398675840677984,0.7994877829720688,0.5579885355729691,0.7643212917387678,0.5980569788226471,0.7863024633195295,0.6010901310273149,0.7648957721017893,0.7111622369809406,0.6979118916324342,0.34095238095238095,0.5377284383203527,0.7684028344413506
Qwen/Qwen1.5-7B,Qwen1.5,7.0,4.0,168.0,0.619700217,0.541808874,0.785102569,0.712707182,0.51082277,0.53525398,0.752361398,0.347560976,alibaba,202402.0,0.604828372,rllab,,,,0.4280347005881967,0.7706489454392198,0.499669230758127,0.7446536007894535,0.4882797011057716,0.7079106360662115,0.5155692638778103,0.7627860648047033,0.5924740279681913,0.7143186746472013,0.5509149178846683,0.763838806085262,0.5927894489560603,0.7240151904154555,0.5909411597695422,0.7266569950026305,0.6630585812193373,0.7038027513785626,0.7003143012106954,0.6499543102302882,0.3076190476190476,0.56220453333384,0.7268585974858986
