Model,Model Family,Model Size (B),Pretraining Data Size (T),FLOPs (1E21),MMLU,ARC-C,HellaSwag,Winograd,TruthfulQA,GSM8K,XWinograd,HumanEval,Company,Release Date,MMLU-ours,platform,Unnamed: 17,Unnamed: 18,Unnamed: 19,0_105_brier,0_105_san,105_210_brier,105_210_san,210_315_brier,210_315_san,315_420_brier,315_420_san,420_525_brier,420_525_san,525_630_brier,525_630_san,630_735_brier,630_735_san,735_840_brier,735_840_san,840_945_brier,840_945_san,945_1050_brier,945_1050_san,acc,brier,san
meta-llama/Llama-2-7b-hf,Llama-2,7.0,2.0,84.0,0.437960964,0.530716724,0.777434774,0.740331492,0.389802028,0.144806672,0.754881273,0.12804878,meta,202307.0,0.458624128,rllab,,,,0.5105820049922281,0.8634009906145687,0.5952433889403522,0.8414180860527607,0.633585671718217,0.8542769331326274,0.6567539477246209,0.7991615583931678,0.642421786683188,0.7741535046444353,0.664742576223405,0.7850127927092105,0.7263969396176239,0.7160876700150222,0.7477472772107682,0.6952053540795913,0.7698891722644874,0.6120567497866579,0.8769739347992735,0.36391184954963235,0.2523809523809524,0.6824336700174166,0.7304685488977662
meta-llama/Llama-2-13b-hf,Llama-2,13.0,2.0,156.0,0.543378428,0.58105802,0.809699263,0.766377269,0.34172403,0.228203184,0.786798487,0.182926829,meta,202307.0,0.5491382994,bdsrc,,,,0.48398203383790966,0.8991592486591428,0.5757220184427779,0.8601340128446725,0.5980291635763881,0.8833297977434653,0.5950253405157685,0.8311176028613897,0.6583948731981052,0.802650800343357,0.686876432452804,0.8007939446353342,0.6919243352779394,0.7461506772369435,0.7015286787381219,0.7385078378341977,0.7621156082013203,0.6480742227569429,0.8626645146383847,0.4101439635677399,0.26761904761904765,0.6616262998879531,0.7620062108483187
meta-llama/Llama-2-70b-hf,Llama-2,70.0,2.0,840.0,0.698320892,0.673208191,0.873332006,0.837411208,0.449234937,0.540561031,0.824453228,0.298780488,meta,202307.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huggyllama/llama-7b,Llama,6.7,1.0,40.2,0.356933064,0.509385666,0.778131846,0.714285714,0.343279329,0.080363912,0.693204495,0.12804878,meta,202302.0,0.34952286,rllab,,,,0.3869810254197805,0.844648729285115,0.5355320509262774,0.8350394894379493,0.6480673227056989,0.8429779986725302,0.6923900767878995,0.7605009870972902,0.6931234264891956,0.7433079737245624,0.749355723931989,0.7336980123918101,0.7768404417034889,0.6802161687064516,0.812282828458138,0.6364265344050144,0.8712236281874494,0.5166355999696606,0.9505263648531426,0.2547249000363144,0.259047619047619,0.7116322889463064,0.6848176393726702
huggyllama/llama-13b,Llama,13.0,1.0,78.0,0.476105883,0.561433447,0.809201354,0.762430939,0.394788826,0.075815011,0.730361681,0.158536585,meta,202302.0,,,,,,0.4621819512258052,0.924428364146005,0.5720941839748824,0.9070462282867936,0.6023124837518351,0.9110343895650547,0.6213375107749441,0.8750506271895084,0.6528591169468242,0.8448047312618245,0.6537148240944801,0.8357705655722711,0.6650752103316834,0.785418739916222,0.7252503343255423,0.7526152975005892,0.7541833027881513,0.6506369410324114,0.8727437094222723,0.39244172562946517,0.26761904761904765,0.6581752627636426,0.7879247610100153
huggyllama/llama-30b,Llama,32.5,1.4,273.0,0.584466128,0.614334471,0.847341167,0.800315706,0.42273876,0.148597422,0.771147904,0.207317073,meta,202302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huggyllama/llama-65b,Llama,65.2,1.4,547.68,0.639306418,0.634812287,0.860884286,0.825572218,0.434287607,0.372251706,0.776834807,0.231707317,meta,202302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Meta-Llama-3-70B,Llama-3,70.0,15.0,6300.0,0.792329339,,0.87980482,0.853196527,0.455623682,0.768764215,0.844706094,0.524390244,meta,202404.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Meta-Llama-3-8B,Llama-3,8.0,15.0,720.0,0.664949549,,0.820155348,0.771112865,0.439522651,0.453373768,0.801151665,0.384146341,meta,202404.0,0.651687794,rllab,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen/Qwen1.5-72B,Qwen1.5,72.0,3.0,1296.0,0.772014583,0.658703072,0.859888468,0.830307814,0.596080564,0.657316149,0.825768095,0.451219512,alibaba,202402.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
